Meldedatum, region, region_id, value, difference, trend
2020-03-02, Thüringen, 16, , , 
2020-03-03, Thüringen, 16, , , 
2020-03-04, Thüringen, 16, , , 
2020-03-05, Thüringen, 16, , , 
2020-03-06, Thüringen, 16, , , 
2020-03-07, Thüringen, 16, , , 
2020-03-08, Thüringen, 16, 0.1, , 
2020-03-09, Thüringen, 16, 0.1, , 
2020-03-10, Thüringen, 16, , , 
2020-03-11, Thüringen, 16, 0.5, 0.3794, 0.0007
2020-03-12, Thüringen, 16, 0.5, 0.4268, 0.0008
2020-03-13, Thüringen, 16, 1, 0.6639, 0.0013
2020-03-14, Thüringen, 16, 1.5, 1.3751, 0.0026
2020-03-15, Thüringen, 16, 2.3, 1.5648, 0.003
2020-03-16, Thüringen, 16, 2.4, 1.5648, 0.003
2020-03-17, Thüringen, 16, 3.2, 2.2761, 0.0043
2020-03-18, Thüringen, 16, 4.3, 2.5606, 0.0049
2020-03-19, Thüringen, 16, 6, 3.509, 0.0067
2020-03-20, Thüringen, 16, 8, 5.3109, 0.0101
2020-03-21, Thüringen, 16, 11.2, 5.8799, 0.0112
2020-03-22, Thüringen, 16, 12.1, 6.3067, 0.012
2020-03-23, Thüringen, 16, 13.3, 7.8715, 0.0149
2020-03-24, Thüringen, 16, 14.9, 10.0528, 0.0191
2020-03-25, Thüringen, 16, 16.9, 11.3331, 0.0215
2020-03-26, Thüringen, 16, 18.9, 12.1392, 0.023
2020-03-27, Thüringen, 16, 19.8, 11.4754, 0.0218
2020-03-28, Thüringen, 16, 19.6, 8.6777, 0.0165
2020-03-29, Thüringen, 16, 21.1, 11.428, 0.0217
2020-03-30, Thüringen, 16, 20.8, 9.7683, 0.0185
2020-03-31, Thüringen, 16, 20, 7.2077, 0.0137
2020-04-01, Thüringen, 16, 20.4, 5.0264, 0.0095
2020-04-02, Thüringen, 16, 19.3, 2.2287, 0.0042
2020-04-03, Thüringen, 16, 19.8, , 
2020-04-04, Thüringen, 16, 19.6, 2.3235, 0.0044
2020-04-05, Thüringen, 16, 18.7, -1.1381, -0.0014
2020-04-06, Thüringen, 16, 19.6, -0.2845, -0.0004
2020-04-07, Thüringen, 16, 19.2, -0.7113, -0.0009
2020-04-08, Thüringen, 16, 18.7, -0.901, -0.0011
2020-04-09, Thüringen, 16, 19.2, 0.4268, 0.0008
2020-04-10, Thüringen, 16, 18.4, 0.7113, 0.0013
2020-04-11, Thüringen, 16, 16.4, -2.4658, -0.0031
2020-04-12, Thüringen, 16, 15.4, -3.3667, -0.0042
2020-04-13, Thüringen, 16, 15, -4.9316, -0.0061
2020-04-14, Thüringen, 16, 14.7, -5.2161, -0.0065
2020-04-15, Thüringen, 16, 13.5, -6.117, -0.0076
2020-04-16, Thüringen, 16, 12.3, -7.1603, -0.0089
2020-04-17, Thüringen, 16, 12.9, -6.0222, -0.0075
2020-04-18, Thüringen, 16, 13.4, -3.2245, -0.004
2020-04-19, Thüringen, 16, 14.3, -1.6597, -0.0021
2020-04-20, Thüringen, 16, 13.6, -1.0432, -0.0013
2020-04-21, Thüringen, 16, 14.4, -1.0432, -0.0013
2020-04-22, Thüringen, 16, 15.7, 1.8019, 0.0034
2020-04-23, Thüringen, 16, 16.4, 3.3667, 0.0064
2020-04-24, Thüringen, 16, 15.6, 3.1296, 0.0059
2020-04-25, Thüringen, 16, 16.2, 2.6555, 0.005
2020-04-26, Thüringen, 16, 15.1, 1.7545, 0.0033
2020-04-27, Thüringen, 16, 15.4, 2.2287, 0.0042
2020-04-28, Thüringen, 16, 14.9, 1.9916, 0.0038
2020-04-29, Thüringen, 16, 15.1, -1.8493, -0.0023
2020-04-30, Thüringen, 16, 14.5, -1.3751, -0.0017
2020-05-01, Thüringen, 16, 14.2, -1.5648, -0.0019
2020-05-02, Thüringen, 16, 12.7, -3.1296, -0.0039
2020-05-03, Thüringen, 16, 12.5, -3.509, -0.0044
2020-05-04, Thüringen, 16, 11.6, -4.3151, -0.0054
2020-05-05, Thüringen, 16, 11.7, -3.3193, -0.0041
2020-05-06, Thüringen, 16, 10, -2.8926, -0.0036
2020-05-07, Thüringen, 16, 10.1, -5.0738, -0.0063
2020-05-08, Thüringen, 16, 9.5, -5.2635, -0.0065
2020-05-09, Thüringen, 16, 10.1, -3.3193, -0.0041
2020-05-10, Thüringen, 16, 10.6, -2.5132, -0.0031
2020-05-11, Thüringen, 16, 10.9, -0.6639, -0.0008
2020-05-12, Thüringen, 16, 11, -2.039, -0.0025
2020-05-13, Thüringen, 16, 10.3, -0.6639, -0.0008
2020-05-14, Thüringen, 16, 8.9, -0.4742, -0.0006
2020-05-15, Thüringen, 16, 7.9, -1.1855, -0.0015
2020-05-16, Thüringen, 16, 7.6, -1.5174, -0.0019
2020-05-17, Thüringen, 16, 7.3, -2.4184, -0.003
2020-05-18, Thüringen, 16, 7.3, -3.4142, -0.0042
2020-05-19, Thüringen, 16, 6.4, -3.4142, -0.0042
2020-05-20, Thüringen, 16, 6.7, -3.6513, -0.0045
2020-05-21, Thüringen, 16, 6.9, -2.039, -0.0025
2020-05-22, Thüringen, 16, 6.6, -1.4226, -0.0018
2020-05-23, Thüringen, 16, 6.5, -1.8493, -0.0023
2020-05-24, Thüringen, 16, 6, -0.901, -0.0011
2020-05-25, Thüringen, 16, 6.1, -0.9484, -0.0012
2020-05-26, Thüringen, 16, 6.4, -0.1423, -0.0002
2020-05-27, Thüringen, 16, 6.5, 0.0948, 0.0002
2020-05-28, Thüringen, 16, 6.7, -0.2371, -0.0003
2020-05-29, Thüringen, 16, 7.4, 0.1897, 0.0004
2020-05-30, Thüringen, 16, 7.3, 0.5216, 0.001
2020-05-31, Thüringen, 16, 7.3, 0.1897, 0.0004
2020-06-01, Thüringen, 16, 7.1, 0.8535, 0.0016
2020-06-02, Thüringen, 16, 6.3, 0.2845, 0.0005
2020-06-03, Thüringen, 16, 4.8, -0.6639, -0.0008
2020-06-04, Thüringen, 16, 4.6, -1.9442, -0.0024
2020-06-05, Thüringen, 16, 3.7, -3.0822, -0.0038
2020-06-06, Thüringen, 16, 3.9, -3.0348, -0.0038
2020-06-07, Thüringen, 16, 3.6, -2.7977, -0.0035
2020-06-08, Thüringen, 16, 3.5, -3.8884, -0.0048
2020-06-09, Thüringen, 16, 3.7, -2.5132, -0.0031
2020-06-10, Thüringen, 16, 4.1, -0.901, -0.0011
2020-06-11, Thüringen, 16, 4.2, -0.0474, -0.0001
2020-06-12, Thüringen, 16, 4.3, 0.7113, 0.0013
2020-06-13, Thüringen, 16, 3.7, 0.3319, 0.0006
2020-06-14, Thüringen, 16, 4, 0.7113, 0.0013
2020-06-15, Thüringen, 16, 3.9, 0.6639, 0.0013
2020-06-16, Thüringen, 16, 3.7, -0.0948, -0.0001
2020-06-17, Thüringen, 16, 3.9, -0.2371, -0.0003
2020-06-18, Thüringen, 16, 3.1, -0.9958, -0.0012
2020-06-19, Thüringen, 16, 2.5, -1.3751, -0.0017
2020-06-20, Thüringen, 16, 2.4, -1.0906, -0.0014
2020-06-21, Thüringen, 16, 2.2, -1.8493, -0.0023
2020-06-22, Thüringen, 16, 2, -1.5648, -0.0019
2020-06-23, Thüringen, 16, 2.1, -1.2329, -0.0015
2020-06-24, Thüringen, 16, 1.5, -1.8968, -0.0024
