Meldedatum, difference, group, trend, value
2022-06-09, , steigend, , 61.5
2022-06-16, 7.7, steigend, 0.2721, 69.2
2022-06-23, -13, steigend, -0.461, 56.2
2022-06-30, -16.2, steigend, -0.5745, 40
2022-07-07, -8.8, steigend, -0.3121, 31.2
2022-07-14, 8.8, steigend, 0.311, 40
2022-07-21, -28.2, steigend, -1, 11.8
2022-07-28, -5.9, steigend, -0.2092, 5.9
2022-08-04, -5.9, steigend, -0.2092, 
2022-08-11, , steigend, , 
2022-08-18, 5.9, steigend, 0.2085, 5.9
2022-08-25, 5.9, steigend, 0.2085, 11.8
2022-09-01, , steigend, , 11.8
2022-09-08, 25.7, steigend, 0.9081, 37.5
2022-09-15, 9.2, steigend, 0.3251, 46.7
2022-09-22, 28.3, steigend, 1, 75
2022-09-29, , steigend, , 75
2022-10-06, -18.8, steigend, -0.6667, 56.2
2022-10-13, -20.5, steigend, -0.727, 35.7
2022-10-20, -5.7, steigend, -0.2021, 30
