Altersgruppe, Week, difference, trend, value
60-79, 2020-12, , , 11
60-79, 2020-13, 3.6, 0.3158, 14.6
60-79, 2020-14, -1.8, -0.2169, 12.8
60-79, 2020-15, -3.7, -0.4458, 9.1
60-79, 2020-16, -2.3, -0.2771, 6.8
60-79, 2020-17, -2.2, -0.2651, 4.6
60-79, 2020-18, -1.2, -0.1446, 3.4
60-79, 2020-19, -1.3, -0.1566, 2.1
60-79, 2020-20, -0.8, -0.0964, 1.3
60-79, 2020-21, -0.2, -0.0241, 1.1
60-79, 2020-22, -0.3, -0.0361, 0.8
60-79, 2020-23, -0.2, -0.0241, 0.6
60-79, 2020-24, -0.2, -0.0241, 0.4
60-79, 2020-25, , , 0.4
60-79, 2020-26, , , 0.4
60-79, 2020-27, -0.1, -0.012, 0.3
60-79, 2020-28, , , 0.3
60-79, 2020-29, 0.1, 0.0088, 0.4
60-79, 2020-30, , , 0.4
60-79, 2020-31, 0.1, 0.0088, 0.5
60-79, 2020-32, , , 0.5
60-79, 2020-33, -0.1, -0.012, 0.4
60-79, 2020-34, 0.1, 0.0088, 0.5
60-79, 2020-35, -0.1, -0.012, 0.4
60-79, 2020-36, 0.1, 0.0088, 0.5
60-79, 2020-37, 0.1, 0.0088, 0.6
60-79, 2020-38, 0.2, 0.0175, 0.8
60-79, 2020-39, , , 0.8
60-79, 2020-40, 0.4, 0.0351, 1.2
60-79, 2020-41, 0.7, 0.0614, 1.9
60-79, 2020-42, 1.3, 0.114, 3.2
60-79, 2020-43, 1.9, 0.1667, 5.1
60-79, 2020-44, 1.9, 0.1667, 7
60-79, 2020-45, 0.8, 0.0702, 7.8
60-79, 2020-46, 1.2, 0.1053, 9
60-79, 2020-47, 0.4, 0.0351, 9.4
60-79, 2020-48, 0.2, 0.0175, 9.6
60-79, 2020-49, 0.9, 0.0789, 10.5
60-79, 2020-50, 1.4, 0.1228, 11.9
60-79, 2020-51, 0.9, 0.0789, 12.8
60-79, 2020-52, 3.5, 0.307, 16.3
60-79, 2020-53, 0.8, 0.0702, 17.1
60-79, 2021-01, -3.7, -0.4458, 13.4
60-79, 2021-02, -3, -0.3614, 10.4
60-79, 2021-03, -0.8, -0.0964, 9.6
60-79, 2021-04, -0.8, -0.0964, 8.8
60-79, 2021-05, -1.6, -0.1928, 7.2
60-79, 2021-06, -0.9, -0.1084, 6.3
60-79, 2021-07, -0.5, -0.0602, 5.8
60-79, 2021-08, , , 5.8
60-79, 2021-09, -0.4, -0.0482, 5.4
60-79, 2021-10, 0.4, 0.0351, 5.8
60-79, 2021-11, 0.9, 0.0789, 6.7
60-79, 2021-12, 1.4, 0.1228, 8.1
60-79, 2021-13, 1.9, 0.1667, 10
60-79, 2021-14, 0.2, 0.0175, 10.2
60-79, 2021-15, -0.1, -0.012, 10.1
60-79, 2021-16, 0.3, 0.0263, 10.4
60-79, 2021-17, -0.8, -0.0964, 9.6
60-79, 2021-18, -1, -0.1205, 8.6
60-79, 2021-19, -1.3, -0.1566, 7.3
60-79, 2021-20, -2.2, -0.2651, 5.1
60-79, 2021-21, -1.7, -0.2048, 3.4
60-79, 2021-22, -1.2, -0.1446, 2.2
60-79, 2021-23, -0.7, -0.0843, 1.5
60-79, 2021-24, -0.7, -0.0843, 0.8
60-79, 2021-25, -0.2, -0.0241, 0.6
60-79, 2021-26, -0.2, -0.0241, 0.4
60-79, 2021-27, , , 0.4
60-79, 2021-28, , , 0.4
60-79, 2021-29, 0.2, 0.0175, 0.6
60-79, 2021-30, 0.3, 0.0263, 0.9
60-79, 2021-31, 0.1, 0.0088, 1
60-79, 2021-32, 0.5, 0.0439, 1.5
60-79, 2021-33, 0.6, 0.0526, 2.1
60-79, 2021-34, 0.8, 0.0702, 2.9
60-79, 2021-35, 0.7, 0.0614, 3.6
60-79, 2021-36, 0.2, 0.0175, 3.8
60-79, 2021-37, -0.1, -0.012, 3.7
60-79, 2021-38, -0.2, -0.0241, 3.5
60-79, 2021-39, 0.2, 0.0175, 3.7
60-79, 2021-40, 0.4, 0.0351, 4.1
60-79, 2021-41, 0.9, 0.0789, 5
60-79, 2021-42, 2.3, 0.2018, 7.3
60-79, 2021-43, 2.5, 0.2193, 9.8
60-79, 2021-44, 3, 0.2632, 12.8
60-79, 2021-45, 2.7, 0.2368, 15.5
60-79, 2021-46, 3.2, 0.2807, 18.7
60-79, 2021-47, 1.7, 0.1491, 20.4
60-79, 2021-48, -1.2, -0.1446, 19.2
60-79, 2021-49, -1.3, -0.1566, 17.9
60-79, 2021-50, -3, -0.3614, 14.9
60-79, 2021-51, -0.7, -0.0843, 14.2
60-79, 2021-52, , , 14.2
60-79, 2022-01, -1.8, -0.2169, 12.4
60-79, 2022-02, 1.4, 0.1228, 13.8
60-79, 2022-03, 6.4, 0.5614, 20.2
60-79, 2022-04, 6.1, 0.5351, 26.3
60-79, 2022-05, 4.2, 0.3684, 30.5
60-79, 2022-06, 2.1, 0.1842, 32.6
60-79, 2022-07, 1.2, 0.1053, 33.8
60-79, 2022-08, 0.5, 0.0439, 34.3
60-79, 2022-09, 2.1, 0.1842, 36.4
60-79, 2022-10, 6.6, 0.5789, 43
60-79, 2022-11, 5.5, 0.4825, 48.5
60-79, 2022-12, -0.1, -0.012, 48.4
60-79, 2022-13, -4.5, -0.5422, 43.9
60-79, 2022-14, -4.6, -0.5542, 39.3
