Altersgruppe, Meldedatum, value, difference, trend
35-59, 2020-03-02, 0.2, , 
35-59, 2020-03-03, 0.3, , 
35-59, 2020-03-04, 0.4, , 
35-59, 2020-03-05, 0.6, , 
35-59, 2020-03-06, 0.9, , 
35-59, 2020-03-07, 1.3, , 
35-59, 2020-03-08, 1.5, , 
35-59, 2020-03-09, 1.6, , 
35-59, 2020-03-10, 2.2, 0.7253, 0.0013
35-59, 2020-03-11, 3.2, 1.3766, 0.0025
35-59, 2020-03-12, 4.3, 2.5137, 0.0046
35-59, 2020-03-13, 6.1, 3.4643, 0.0063
35-59, 2020-03-14, 8.6, 4.7775, 0.0088
35-59, 2020-03-15, 10.9, 5.9534, 0.0109
35-59, 2020-03-16, 12.6, 7.9884, 0.0146
35-59, 2020-03-17, 15.8, 10.6183, 0.0194
35-59, 2020-03-18, 20.4, 11.002, 0.0202
35-59, 2020-03-19, 25.7, 13.7869, 0.0253
35-59, 2020-03-20, 30.9, 16.1915, 0.0297
35-59, 2020-03-21, 35, 16.9942, 0.0311
35-59, 2020-03-22, 38, 16.6245, 0.0304
35-59, 2020-03-23, 39.8, 19.5748, 0.0359
35-59, 2020-03-24, 42.1, 21.0887, 0.0386
35-59, 2020-03-25, 44.4, 21.6133, 0.0396
35-59, 2020-03-26, 47.3, 19.4657, 0.0357
35-59, 2020-03-27, 49.3, 18.2229, 0.0334
35-59, 2020-03-28, 51.4, 19.0151, 0.0348
35-59, 2020-03-29, 52.7, 18.7792, 0.0344
35-59, 2020-03-30, 53.6, 16.8745, 0.0309
35-59, 2020-03-31, 53.5, 13.3609, 0.0245
35-59, 2020-04-01, 54.5, 11.8857, 0.0218
35-59, 2020-04-02, 53.7, 9.4072, 0.0172
35-59, 2020-04-03, 53.7, 7.0061, 0.0128
35-59, 2020-04-04, 53.1, 3.3763, 0.0062
35-59, 2020-04-05, 52.5, 3.9044, 0.0072
35-59, 2020-04-06, 51.4, 1.1794, 0.0022
35-59, 2020-04-07, 50.1, -0.4823, -0.0011
35-59, 2020-04-08, 48.6, -3.672, -0.0081
35-59, 2020-04-09, 47.2, -4.7388, -0.0104
35-59, 2020-04-10, 44.6, -6.5132, -0.0143
35-59, 2020-04-11, 40.6, -9.1291, -0.0201
35-59, 2020-04-12, 38, -12.7096, -0.028
35-59, 2020-04-13, 36.8, -13.294, -0.0292
35-59, 2020-04-14, 33.7, -14.8853, -0.0327
35-59, 2020-04-15, 29.4, -16.3006, -0.0359
35-59, 2020-04-16, 26.3, -18.4553, -0.0406
35-59, 2020-04-17, 24.4, -18.832, -0.0414
35-59, 2020-04-18, 23.8, -15.2092, -0.0335
35-59, 2020-04-19, 22.8, -13.3574, -0.0294
