Week, difference, region, region_id, trend, value
2020-W11, , Sachsen-Anhalt, 15, , 
2020-W12, , Sachsen-Anhalt, 15, , 
2020-W13, 2, Sachsen-Anhalt, 15, 0.0488, 2
2020-W14, 8, Sachsen-Anhalt, 15, 0.1951, 10
2020-W15, -1, Sachsen-Anhalt, 15, -0.0161, 9
2020-W16, -1, Sachsen-Anhalt, 15, -0.0161, 8
2020-W17, -2, Sachsen-Anhalt, 15, -0.0323, 6
2020-W18, 2, Sachsen-Anhalt, 15, 0.0488, 8
2020-W19, -4, Sachsen-Anhalt, 15, -0.0645, 4
2020-W20, 2, Sachsen-Anhalt, 15, 0.0488, 6
2020-W21, -6, Sachsen-Anhalt, 15, -0.0968, 
2020-W22, 1, Sachsen-Anhalt, 15, 0.0244, 1
2020-W23, , Sachsen-Anhalt, 15, , 1
2020-W24, , Sachsen-Anhalt, 15, , 1
2020-W25, -1, Sachsen-Anhalt, 15, -0.0161, 
2020-W26, 1, Sachsen-Anhalt, 15, 0.0244, 1
2020-W27, , Sachsen-Anhalt, 15, , 1
2020-W28, 1, Sachsen-Anhalt, 15, 0.0244, 2
2020-W29, -1, Sachsen-Anhalt, 15, -0.0161, 1
2020-W30, , Sachsen-Anhalt, 15, , 1
2020-W31, , Sachsen-Anhalt, 15, , 1
2020-W32, -1, Sachsen-Anhalt, 15, -0.0161, 
2020-W33, , Sachsen-Anhalt, 15, , 
2020-W34, 1, Sachsen-Anhalt, 15, 0.0244, 1
2020-W35, -1, Sachsen-Anhalt, 15, -0.0161, 
2020-W36, 1, Sachsen-Anhalt, 15, 0.0244, 1
2020-W37, -1, Sachsen-Anhalt, 15, -0.0161, 
2020-W38, , Sachsen-Anhalt, 15, , 
2020-W39, 1, Sachsen-Anhalt, 15, 0.0244, 1
2020-W40, , Sachsen-Anhalt, 15, , 1
2020-W41, -1, Sachsen-Anhalt, 15, -0.0161, 
2020-W42, 3, Sachsen-Anhalt, 15, 0.0732, 3
2020-W43, , Sachsen-Anhalt, 15, , 3
2020-W44, 2, Sachsen-Anhalt, 15, 0.0488, 5
2020-W45, 6, Sachsen-Anhalt, 15, 0.1463, 11
2020-W46, 4, Sachsen-Anhalt, 15, 0.0976, 15
2020-W47, 2, Sachsen-Anhalt, 15, 0.0488, 17
2020-W48, 24, Sachsen-Anhalt, 15, 0.5854, 41
2020-W49, 3, Sachsen-Anhalt, 15, 0.0732, 44
2020-W50, 18, Sachsen-Anhalt, 15, 0.439, 62
2020-W51, 51, Sachsen-Anhalt, 15, 1.2439, 113
2020-W52, 15, Sachsen-Anhalt, 15, 0.3659, 128
2020-W53, 50, Sachsen-Anhalt, 15, 1.2195, 178
2021-W01, -32, Sachsen-Anhalt, 15, -0.5161, 146
2021-W02, 146, Sachsen-Anhalt, 15, 3.561, 292
2021-W03, -2, Sachsen-Anhalt, 15, -0.0323, 290
2021-W04, -6, Sachsen-Anhalt, 15, -0.0968, 284
2021-W05, -31, Sachsen-Anhalt, 15, -0.5, 253
2021-W06, -113, Sachsen-Anhalt, 15, -1.8226, 140
2021-W07, 48, Sachsen-Anhalt, 15, 1.1707, 188
2021-W08, -64, Sachsen-Anhalt, 15, -1.0323, 124
2021-W09, -39, Sachsen-Anhalt, 15, -0.629, 85
2021-W10, -5, Sachsen-Anhalt, 15, -0.0806, 80
2021-W11, -30, Sachsen-Anhalt, 15, -0.4839, 50
2021-W12, 11, Sachsen-Anhalt, 15, 0.2683, 61
2021-W13, -23, Sachsen-Anhalt, 15, -0.371, 38
2021-W14, 60, Sachsen-Anhalt, 15, 1.4634, 98
2021-W15, -21, Sachsen-Anhalt, 15, -0.3387, 77
2021-W16, 28, Sachsen-Anhalt, 15, 0.6829, 105
2021-W17, -19, Sachsen-Anhalt, 15, -0.3065, 86
2021-W18, -18, Sachsen-Anhalt, 15, -0.2903, 68
2021-W19, -15, Sachsen-Anhalt, 15, -0.2419, 53
2021-W20, 7, Sachsen-Anhalt, 15, 0.1707, 60
2021-W21, -26, Sachsen-Anhalt, 15, -0.4194, 34
2021-W22, 20, Sachsen-Anhalt, 15, 0.4878, 54
2021-W23, -26, Sachsen-Anhalt, 15, -0.4194, 28
2021-W24, -13, Sachsen-Anhalt, 15, -0.2097, 15
2021-W25, -2, Sachsen-Anhalt, 15, -0.0323, 13
2021-W26, -8, Sachsen-Anhalt, 15, -0.129, 5
2021-W27, -2, Sachsen-Anhalt, 15, -0.0323, 3
2021-W28, , Sachsen-Anhalt, 15, , 3
2021-W29, 12, Sachsen-Anhalt, 15, 0.2927, 15
2021-W30, -8, Sachsen-Anhalt, 15, -0.129, 7
2021-W31, 7, Sachsen-Anhalt, 15, 0.1707, 14
2021-W32, -12, Sachsen-Anhalt, 15, -0.1935, 2
2021-W33, , Sachsen-Anhalt, 15, , 2
2021-W34, 2, Sachsen-Anhalt, 15, 0.0488, 4
2021-W35, 21, Sachsen-Anhalt, 15, 0.5122, 25
2021-W36, -22, Sachsen-Anhalt, 15, -0.3548, 3
2021-W37, 21, Sachsen-Anhalt, 15, 0.5122, 24
2021-W38, -9, Sachsen-Anhalt, 15, -0.1452, 15
2021-W39, -8, Sachsen-Anhalt, 15, -0.129, 7
2021-W40, 2, Sachsen-Anhalt, 15, 0.0488, 9
2021-W41, 3, Sachsen-Anhalt, 15, 0.0732, 12
2021-W42, -2, Sachsen-Anhalt, 15, -0.0323, 10
2021-W43, 1, Sachsen-Anhalt, 15, 0.0244, 11
2021-W44, 15, Sachsen-Anhalt, 15, 0.3659, 26
2021-W45, 7, Sachsen-Anhalt, 15, 0.1707, 33
2021-W46, 13, Sachsen-Anhalt, 15, 0.3171, 46
2021-W47, 45, Sachsen-Anhalt, 15, 1.0976, 91
2021-W48, -28, Sachsen-Anhalt, 15, -0.4516, 63
2021-W49, 49, Sachsen-Anhalt, 15, 1.1951, 112
2021-W50, 16, Sachsen-Anhalt, 15, 0.3902, 128
2021-W51, -22, Sachsen-Anhalt, 15, -0.3548, 106
2021-W52, -17, Sachsen-Anhalt, 15, -0.2742, 89
2022-W01, 35, Sachsen-Anhalt, 15, 0.8537, 124
2022-W02, -51, Sachsen-Anhalt, 15, -0.8226, 73
2022-W03, -5, Sachsen-Anhalt, 15, -0.0806, 68
2022-W04, -11, Sachsen-Anhalt, 15, -0.1774, 57
2022-W05, -24, Sachsen-Anhalt, 15, -0.3871, 33
2022-W06, 8, Sachsen-Anhalt, 15, 0.1951, 41
2022-W07, -6, Sachsen-Anhalt, 15, -0.0968, 35
2022-W08, 4, Sachsen-Anhalt, 15, 0.0976, 39
2022-W09, 9, Sachsen-Anhalt, 15, 0.2195, 48
2022-W10, 16, Sachsen-Anhalt, 15, 0.3902, 64
2022-W11, -19, Sachsen-Anhalt, 15, -0.3065, 45
2022-W12, 23, Sachsen-Anhalt, 15, 0.561, 68
2022-W13, -13, Sachsen-Anhalt, 15, -0.2097, 55
2022-W14, 24, Sachsen-Anhalt, 15, 0.5854, 79
2022-W15, -36, Sachsen-Anhalt, 15, -0.5806, 43
2022-W16, 16, Sachsen-Anhalt, 15, 0.3902, 59
2022-W17, -12, Sachsen-Anhalt, 15, -0.1935, 47
2022-W18, -19, Sachsen-Anhalt, 15, -0.3065, 28
2022-W19, -3, Sachsen-Anhalt, 15, -0.0484, 25
2022-W20, 3, Sachsen-Anhalt, 15, 0.0732, 28
2022-W21, -17, Sachsen-Anhalt, 15, -0.2742, 11
2022-W22, 7, Sachsen-Anhalt, 15, 0.1707, 18
2022-W23, -7, Sachsen-Anhalt, 15, -0.1129, 11
2022-W24, 4, Sachsen-Anhalt, 15, 0.0976, 15
2022-W25, -6, Sachsen-Anhalt, 15, -0.0968, 9
2022-W26, 5, Sachsen-Anhalt, 15, 0.122, 14
2022-W27, -1, Sachsen-Anhalt, 15, -0.0161, 13
2022-W28, 2, Sachsen-Anhalt, 15, 0.0488, 15
2022-W29, 2, Sachsen-Anhalt, 15, 0.0488, 17
2022-W30, 6, Sachsen-Anhalt, 15, 0.1463, 23
2022-W31, 30, Sachsen-Anhalt, 15, 0.7317, 53
2022-W32, -9, Sachsen-Anhalt, 15, -0.1452, 44
2022-W33, -8, Sachsen-Anhalt, 15, -0.129, 36
2022-W34, -19, Sachsen-Anhalt, 15, -0.3065, 17
2022-W35, , Sachsen-Anhalt, 15, , 17
2022-W36, 13, Sachsen-Anhalt, 15, 0.3171, 30
2022-W37, -19, Sachsen-Anhalt, 15, -0.3065, 11
2022-W38, -1, Sachsen-Anhalt, 15, -0.0161, 10
2022-W39, 10, Sachsen-Anhalt, 15, 0.2439, 20
2022-W40, -9, Sachsen-Anhalt, 15, -0.1452, 11
2022-W41, 41, Sachsen-Anhalt, 15, 1, 52
2022-W42, -32, Sachsen-Anhalt, 15, -0.5161, 20
2022-W43, 16, Sachsen-Anhalt, 15, 0.3902, 36
2022-W44, 6, Sachsen-Anhalt, 15, 0.1463, 42
2022-W45, 5, Sachsen-Anhalt, 15, 0.122, 47
2022-W46, 29, Sachsen-Anhalt, 15, 0.7073, 76
2022-W47, -62, Sachsen-Anhalt, 15, -1, 14
2022-W48, 7, Sachsen-Anhalt, 15, 0.1707, 21
2022-W49, -6, Sachsen-Anhalt, 15, -0.0968, 15
2022-W50, 8, Sachsen-Anhalt, 15, 0.1951, 23
2022-W51, -5, Sachsen-Anhalt, 15, -0.0806, 18
2022-W52, 2, Sachsen-Anhalt, 15, 0.0488, 20
2023-W01, 17, Sachsen-Anhalt, 15, 0.4146, 37
2023-W02, -12, Sachsen-Anhalt, 15, -0.1935, 25
