Week, difference, region, region_id, trend, value
2020-12, , Nordrhein-Westfalen, 5, , 7.7
2020-13, 1.2, Nordrhein-Westfalen, 5, 0.1224, 8.9
2020-14, -0.4, Nordrhein-Westfalen, 5, -0.0417, 8.5
2020-15, -1.9, Nordrhein-Westfalen, 5, -0.1979, 6.6
2020-16, -1.7, Nordrhein-Westfalen, 5, -0.1771, 4.9
2020-17, -1, Nordrhein-Westfalen, 5, -0.1042, 3.9
2020-18, -0.9, Nordrhein-Westfalen, 5, -0.0938, 3
2020-19, -0.9, Nordrhein-Westfalen, 5, -0.0938, 2.1
2020-20, -0.3, Nordrhein-Westfalen, 5, -0.0313, 1.8
2020-21, -0.5, Nordrhein-Westfalen, 5, -0.0521, 1.3
2020-22, -0.3, Nordrhein-Westfalen, 5, -0.0313, 1
2020-23, -0.2, Nordrhein-Westfalen, 5, -0.0208, 0.8
2020-24, 0.1, Nordrhein-Westfalen, 5, 0.0102, 0.9
2020-25, 0.4, Nordrhein-Westfalen, 5, 0.0408, 1.3
2020-26, -0.4, Nordrhein-Westfalen, 5, -0.0417, 0.9
2020-27, -0.2, Nordrhein-Westfalen, 5, -0.0208, 0.7
2020-28, 0.2, Nordrhein-Westfalen, 5, 0.0204, 0.9
2020-29, 0.3, Nordrhein-Westfalen, 5, 0.0306, 1.2
2020-30, -0.1, Nordrhein-Westfalen, 5, -0.0104, 1.1
2020-31, 0.2, Nordrhein-Westfalen, 5, 0.0204, 1.3
2020-32, , Nordrhein-Westfalen, 5, , 1.3
2020-33, -0.2, Nordrhein-Westfalen, 5, -0.0208, 1.1
2020-34, -0.3, Nordrhein-Westfalen, 5, -0.0312, 0.8
2020-35, -0.2, Nordrhein-Westfalen, 5, -0.0208, 0.6
2020-36, 0.1, Nordrhein-Westfalen, 5, 0.0102, 0.7
2020-37, 0.1, Nordrhein-Westfalen, 5, 0.0102, 0.8
2020-38, 0.2, Nordrhein-Westfalen, 5, 0.0204, 1
2020-39, , Nordrhein-Westfalen, 5, , 1
2020-40, 0.6, Nordrhein-Westfalen, 5, 0.0612, 1.6
2020-41, 0.5, Nordrhein-Westfalen, 5, 0.051, 2.1
