Meldedatum, region, region_id, value, difference, trend
2020-03-02, Brandenburg, 12, 0.1, , 
2020-03-03, Brandenburg, 12, 0.1, , 
2020-03-04, Brandenburg, 12, , , 
2020-03-05, Brandenburg, 12, , , 
2020-03-06, Brandenburg, 12, 0.1, , 
2020-03-07, Brandenburg, 12, 0.1, , 
2020-03-08, Brandenburg, 12, 0.1, , 
2020-03-09, Brandenburg, 12, 0.2, , 
2020-03-10, Brandenburg, 12, 0.4, , 
2020-03-11, Brandenburg, 12, 0.7, , 
2020-03-12, Brandenburg, 12, 1.1, , 
2020-03-13, Brandenburg, 12, 2, 1.6155, 0.0028
2020-03-14, Brandenburg, 12, 2.8, 2.0884, 0.0037
2020-03-15, Brandenburg, 12, 3.2, 2.049, 0.0036
2020-03-16, Brandenburg, 12, 3.9, 2.2854, 0.004
2020-03-17, Brandenburg, 12, 4.5, 2.4824, 0.0044
2020-03-18, Brandenburg, 12, 6.6, 2.443, 0.0043
2020-03-19, Brandenburg, 12, 8.1, 3.3099, 0.0058
2020-03-20, Brandenburg, 12, 9.3, 4.0191, 0.007
2020-03-21, Brandenburg, 12, 10.9, 5.1618, 0.0091
2020-03-22, Brandenburg, 12, 11.4, 5.477, 0.0096
2020-03-23, Brandenburg, 12, 11.4, 5.0042, 0.0088
2020-03-24, Brandenburg, 12, 12.6, 5.9105, 0.0104
2020-03-25, Brandenburg, 12, 12.4, 6.6985, 0.0117
2020-03-26, Brandenburg, 12, 14.4, 5.2012, 0.0091
2020-03-27, Brandenburg, 12, 15.1, 3.9009, 0.0068
2020-03-28, Brandenburg, 12, 15.8, 3.8615, 0.0068
2020-03-29, Brandenburg, 12, 16.6, 5.2012, 0.0091
2020-03-30, Brandenburg, 12, 16.9, 6.1469, 0.0108
2020-03-31, Brandenburg, 12, 18.5, 4.4526, 0.0078
2020-04-01, Brandenburg, 12, 21.4, 4.6102, 0.0081
2020-04-02, Brandenburg, 12, 20.3, 5.9893, 0.0105
2020-04-03, Brandenburg, 12, 22, 6.0681, 0.0106
2020-04-04, Brandenburg, 12, 24.3, 6.6985, 0.0117
2020-04-05, Brandenburg, 12, 24.1, 7.0926, 0.0124
2020-04-06, Brandenburg, 12, 24.1, 6.8561, 0.012
2020-04-07, Brandenburg, 12, 23.3, 5.3982, 0.0095
2020-04-08, Brandenburg, 12, 22.5, 2.64, 0.0046
2020-04-09, Brandenburg, 12, 24.6, 2.6006, 0.0046
2020-04-10, Brandenburg, 12, 24.5, 2.7976, 0.0049
2020-04-11, Brandenburg, 12, 22.1, -1.5761, -0.0046
2020-04-12, Brandenburg, 12, 22.5, -1.7731, -0.0052
2020-04-13, Brandenburg, 12, 23.2, -2.2854, -0.0067
2020-04-14, Brandenburg, 12, 20.7, -1.5367, -0.0045
2020-04-15, Brandenburg, 12, 18.8, -2.9158, -0.0085
2020-04-16, Brandenburg, 12, 16.7, -4.4132, -0.0129
2020-04-17, Brandenburg, 12, 14.7, -6.5409, -0.0192
2020-04-18, Brandenburg, 12, 16.1, -5.8317, -0.0171
2020-04-19, Brandenburg, 12, 16.5, -7.132, -0.0209
