Week, difference, region, region_id, trend, value
2020-12, , Rheinland-Pfalz, 7, , 6.1
2020-13, 1.4, Rheinland-Pfalz, 7, 0.1284, 7.5
2020-14, -1, Rheinland-Pfalz, 7, -0.1099, 6.5
2020-15, 0.5, Rheinland-Pfalz, 7, 0.0459, 7
2020-16, -1.1, Rheinland-Pfalz, 7, -0.1209, 5.9
2020-17, -1, Rheinland-Pfalz, 7, -0.1099, 4.9
2020-18, -2.1, Rheinland-Pfalz, 7, -0.2308, 2.8
2020-19, -0.6, Rheinland-Pfalz, 7, -0.0659, 2.2
2020-20, -0.6, Rheinland-Pfalz, 7, -0.0659, 1.6
2020-21, -0.8, Rheinland-Pfalz, 7, -0.0879, 0.8
2020-22, -0.1, Rheinland-Pfalz, 7, -0.011, 0.7
2020-23, -0.3, Rheinland-Pfalz, 7, -0.033, 0.4
2020-24, , Rheinland-Pfalz, 7, , 0.4
2020-25, , Rheinland-Pfalz, 7, , 0.4
2020-26, , Rheinland-Pfalz, 7, , 0.4
2020-27, , Rheinland-Pfalz, 7, , 0.4
2020-28, 0.1, Rheinland-Pfalz, 7, 0.0092, 0.5
2020-29, , Rheinland-Pfalz, 7, , 0.5
2020-30, -0.1, Rheinland-Pfalz, 7, -0.011, 0.4
2020-31, 0.3, Rheinland-Pfalz, 7, 0.0275, 0.7
2020-32, 0.4, Rheinland-Pfalz, 7, 0.0367, 1.1
2020-33, , Rheinland-Pfalz, 7, , 1.1
2020-34, 0.2, Rheinland-Pfalz, 7, 0.0183, 1.3
2020-35, -0.6, Rheinland-Pfalz, 7, -0.0659, 0.7
2020-36, 0.2, Rheinland-Pfalz, 7, 0.0183, 0.9
2020-37, 0.1, Rheinland-Pfalz, 7, 0.0092, 1
2020-38, 0.3, Rheinland-Pfalz, 7, 0.0275, 1.3
2020-39, 0.1, Rheinland-Pfalz, 7, 0.0092, 1.4
2020-40, 0.5, Rheinland-Pfalz, 7, 0.0459, 1.9
2020-41, 0.7, Rheinland-Pfalz, 7, 0.0642, 2.6
2020-42, 1.6, Rheinland-Pfalz, 7, 0.1468, 4.2
2020-43, 1.7, Rheinland-Pfalz, 7, 0.156, 5.9
2020-44, 1.9, Rheinland-Pfalz, 7, 0.1743, 7.8
2020-45, 1.1, Rheinland-Pfalz, 7, 0.1009, 8.9
2020-46, 1, Rheinland-Pfalz, 7, 0.0917, 9.9
2020-47, 0.8, Rheinland-Pfalz, 7, 0.0734, 10.7
2020-48, -0.5, Rheinland-Pfalz, 7, -0.0549, 10.2
2020-49, 1.4, Rheinland-Pfalz, 7, 0.1284, 11.6
2020-50, 0.1, Rheinland-Pfalz, 7, 0.0092, 11.7
2020-51, 0.3, Rheinland-Pfalz, 7, 0.0275, 12
2020-52, 2.9, Rheinland-Pfalz, 7, 0.2661, 14.9
2020-53, 0.9, Rheinland-Pfalz, 7, 0.0826, 15.8
2021-01, -3.3, Rheinland-Pfalz, 7, -0.3626, 12.5
2021-02, -2, Rheinland-Pfalz, 7, -0.2198, 10.5
2021-03, 0.1, Rheinland-Pfalz, 7, 0.0092, 10.6
2021-04, -1.3, Rheinland-Pfalz, 7, -0.1429, 9.3
2021-05, -1, Rheinland-Pfalz, 7, -0.1099, 8.3
2021-06, -1.2, Rheinland-Pfalz, 7, -0.1319, 7.1
2021-07, -0.2, Rheinland-Pfalz, 7, -0.022, 6.9
2021-08, -0.1, Rheinland-Pfalz, 7, -0.011, 6.8
2021-09, , Rheinland-Pfalz, 7, , 6.8
2021-10, , Rheinland-Pfalz, 7, , 6.8
2021-11, 1.1, Rheinland-Pfalz, 7, 0.1009, 7.9
2021-12, 1.1, Rheinland-Pfalz, 7, 0.1009, 9
2021-13, 1.9, Rheinland-Pfalz, 7, 0.1743, 10.9
2021-14, 1.6, Rheinland-Pfalz, 7, 0.1468, 12.5
2021-15, 0.5, Rheinland-Pfalz, 7, 0.0459, 13
2021-16, -0.5, Rheinland-Pfalz, 7, -0.0549, 12.5
2021-17, -0.7, Rheinland-Pfalz, 7, -0.0769, 11.8
2021-18, -0.7, Rheinland-Pfalz, 7, -0.0769, 11.1
2021-19, -0.5, Rheinland-Pfalz, 7, -0.0549, 10.6
2021-20, -3.6, Rheinland-Pfalz, 7, -0.3956, 7
2021-21, -1.7, Rheinland-Pfalz, 7, -0.1868, 5.3
2021-22, -0.4, Rheinland-Pfalz, 7, -0.044, 4.9
2021-23, -1.6, Rheinland-Pfalz, 7, -0.1758, 3.3
2021-24, -1.2, Rheinland-Pfalz, 7, -0.1319, 2.1
2021-25, -0.5, Rheinland-Pfalz, 7, -0.0549, 1.6
2021-26, -0.4, Rheinland-Pfalz, 7, -0.044, 1.2
2021-27, 0.4, Rheinland-Pfalz, 7, 0.0367, 1.6
2021-28, 0.1, Rheinland-Pfalz, 7, 0.0092, 1.7
2021-29, 1.3, Rheinland-Pfalz, 7, 0.1193, 3
2021-30, 1, Rheinland-Pfalz, 7, 0.0917, 4
2021-31, 0.3, Rheinland-Pfalz, 7, 0.0275, 4.3
2021-32, 2.5, Rheinland-Pfalz, 7, 0.2294, 6.8
2021-33, 3.2, Rheinland-Pfalz, 7, 0.2936, 10
2021-34, 2, Rheinland-Pfalz, 7, 0.1835, 12
2021-35, 1.5, Rheinland-Pfalz, 7, 0.1376, 13.5
2021-36, -3.6, Rheinland-Pfalz, 7, -0.3956, 9.9
2021-37, , Rheinland-Pfalz, 7, , 9.9
2021-38, -1.8, Rheinland-Pfalz, 7, -0.1978, 8.1
2021-39, 0.4, Rheinland-Pfalz, 7, 0.0367, 8.5
2021-40, -0.2, Rheinland-Pfalz, 7, -0.022, 8.3
2021-41, 0.2, Rheinland-Pfalz, 7, 0.0183, 8.5
2021-42, 2.7, Rheinland-Pfalz, 7, 0.2477, 11.2
2021-43, 1.8, Rheinland-Pfalz, 7, 0.1651, 13
2021-44, 0.8, Rheinland-Pfalz, 7, 0.0734, 13.8
2021-45, , Rheinland-Pfalz, 7, , 13.8
2021-46, 2.5, Rheinland-Pfalz, 7, 0.2294, 16.3
2021-47, 1.9, Rheinland-Pfalz, 7, 0.1743, 18.2
2021-48, 0.7, Rheinland-Pfalz, 7, 0.0642, 18.9
2021-49, -0.1, Rheinland-Pfalz, 7, -0.011, 18.8
2021-50, -2.7, Rheinland-Pfalz, 7, -0.2967, 16.1
2021-51, -0.9, Rheinland-Pfalz, 7, -0.0989, 15.2
2021-52, 5.7, Rheinland-Pfalz, 7, 0.5229, 20.9
2022-01, -1.2, Rheinland-Pfalz, 7, -0.1319, 19.7
2022-02, 3.3, Rheinland-Pfalz, 7, 0.3028, 23
2022-03, 10.6, Rheinland-Pfalz, 7, 0.9725, 33.6
2022-04, 9.4, Rheinland-Pfalz, 7, 0.8624, 43
2022-05, 5.4, Rheinland-Pfalz, 7, 0.4954, 48.4
2022-06, 0.4, Rheinland-Pfalz, 7, 0.0367, 48.8
2022-07, 2.7, Rheinland-Pfalz, 7, 0.2477, 51.5
2022-08, 1.5, Rheinland-Pfalz, 7, 0.1376, 53
2022-09, 3.5, Rheinland-Pfalz, 7, 0.3211, 56.5
2022-10, 3.5, Rheinland-Pfalz, 7, 0.3211, 60
2022-11, 4.5, Rheinland-Pfalz, 7, 0.4128, 64.5
2022-12, 1, Rheinland-Pfalz, 7, 0.0917, 65.5
2022-13, -2.2, Rheinland-Pfalz, 7, -0.2418, 63.3
2022-14, -2.7, Rheinland-Pfalz, 7, -0.2967, 60.6
2022-15, 2.7, Rheinland-Pfalz, 7, 0.2477, 63.3
2022-16, -4.2, Rheinland-Pfalz, 7, -0.4615, 59.1
2022-17, -9.1, Rheinland-Pfalz, 7, -1, 50
2022-18, -4, Rheinland-Pfalz, 7, -0.4396, 46
2022-19, -4.9, Rheinland-Pfalz, 7, -0.5385, 41.1
2022-20, -5.7, Rheinland-Pfalz, 7, -0.6264, 35.4
2022-21, -3.5, Rheinland-Pfalz, 7, -0.3846, 31.9
2022-22, 5.9, Rheinland-Pfalz, 7, 0.5413, 37.8
2022-23, 10.9, Rheinland-Pfalz, 7, 1, 48.7
2022-24, 3.8, Rheinland-Pfalz, 7, 0.3486, 52.5
2022-25, 1.5, Rheinland-Pfalz, 7, 0.1376, 54
2022-26, 1, Rheinland-Pfalz, 7, 0.0917, 55
2022-27, 2, Rheinland-Pfalz, 7, 0.1835, 57
2022-28, 1, Rheinland-Pfalz, 7, 0.0917, 58
2022-29, -0.4, Rheinland-Pfalz, 7, -0.044, 57.6
2022-30, -3.4, Rheinland-Pfalz, 7, -0.3736, 54.2
2022-31, -7.4, Rheinland-Pfalz, 7, -0.8132, 46.8
2022-32, -2.5, Rheinland-Pfalz, 7, -0.2747, 44.3
2022-33, -3.4, Rheinland-Pfalz, 7, -0.3736, 40.9
2022-34, -4, Rheinland-Pfalz, 7, -0.4396, 36.9
2022-35, , Rheinland-Pfalz, 7, , 36.9
2022-36, 2, Rheinland-Pfalz, 7, 0.1835, 38.9
2022-37, 4.9, Rheinland-Pfalz, 7, 0.4495, 43.8
2022-38, 4.8, Rheinland-Pfalz, 7, 0.4404, 48.6
2022-39, 4.4, Rheinland-Pfalz, 7, 0.4037, 53
