Week, difference, region, region_id, trend, value
2020-12, , Niedersachsen, 3, , 5.7
2020-13, 0.9, Niedersachsen, 3, 0.075, 6.6
2020-14, -0.4, Niedersachsen, 3, -0.0455, 6.2
2020-15, -0.8, Niedersachsen, 3, -0.0909, 5.4
2020-16, -0.5, Niedersachsen, 3, -0.0568, 4.9
2020-17, -2, Niedersachsen, 3, -0.2273, 2.9
2020-18, -0.1, Niedersachsen, 3, -0.0114, 2.8
2020-19, -1.2, Niedersachsen, 3, -0.1364, 1.6
2020-20, -0.7, Niedersachsen, 3, -0.0795, 0.9
2020-21, 0.8, Niedersachsen, 3, 0.0667, 1.7
2020-22, 0.2, Niedersachsen, 3, 0.0167, 1.9
2020-23, , Niedersachsen, 3, , 1.9
2020-24, -0.5, Niedersachsen, 3, -0.0568, 1.4
2020-25, -0.4, Niedersachsen, 3, -0.0455, 1
2020-26, -0.6, Niedersachsen, 3, -0.0682, 0.4
2020-27, -0.1, Niedersachsen, 3, -0.0114, 0.3
2020-28, -0.2, Niedersachsen, 3, -0.0227, 0.1
2020-29, 0.1, Niedersachsen, 3, 0.0083, 0.2
2020-30, 0.1, Niedersachsen, 3, 0.0083, 0.3
2020-31, 0.4, Niedersachsen, 3, 0.0333, 0.7
2020-32, -0.2, Niedersachsen, 3, -0.0227, 0.5
2020-33, 0.2, Niedersachsen, 3, 0.0167, 0.7
2020-34, -0.2, Niedersachsen, 3, -0.0227, 0.5
2020-35, 0.1, Niedersachsen, 3, 0.0083, 0.6
2020-36, 0.1, Niedersachsen, 3, 0.0083, 0.7
2020-37, , Niedersachsen, 3, , 0.7
2020-38, 0.2, Niedersachsen, 3, 0.0167, 0.9
2020-39, , Niedersachsen, 3, , 0.9
2020-40, 0.5, Niedersachsen, 3, 0.0417, 1.4
2020-41, 0.3, Niedersachsen, 3, 0.025, 1.7
2020-42, 1.1, Niedersachsen, 3, 0.0917, 2.8
2020-43, 1.3, Niedersachsen, 3, 0.1083, 4.1
2020-44, 1.5, Niedersachsen, 3, 0.125, 5.6
2020-45, 0.4, Niedersachsen, 3, 0.0333, 6
2020-46, 0.5, Niedersachsen, 3, 0.0417, 6.5
2020-47, -0.3, Niedersachsen, 3, -0.0341, 6.2
2020-48, -0.5, Niedersachsen, 3, -0.0568, 5.7
2020-49, -0.1, Niedersachsen, 3, -0.0114, 5.6
2020-50, 0.6, Niedersachsen, 3, 0.05, 6.2
2020-51, 0.8, Niedersachsen, 3, 0.0667, 7
2020-52, 2.6, Niedersachsen, 3, 0.2167, 9.6
2020-53, 1.2, Niedersachsen, 3, 0.1, 10.8
2021-01, -1.8, Niedersachsen, 3, -0.2045, 9
2021-02, -1.2, Niedersachsen, 3, -0.1364, 7.8
2021-03, -1.3, Niedersachsen, 3, -0.1477, 6.5
2021-04, -0.7, Niedersachsen, 3, -0.0795, 5.8
2021-05, -0.3, Niedersachsen, 3, -0.0341, 5.5
2021-06, 0.2, Niedersachsen, 3, 0.0167, 5.7
2021-07, , Niedersachsen, 3, , 5.7
2021-08, 0.4, Niedersachsen, 3, 0.0333, 6.1
2021-09, -1.3, Niedersachsen, 3, -0.1477, 4.8
2021-10, 0.4, Niedersachsen, 3, 0.0333, 5.2
2021-11, 1.2, Niedersachsen, 3, 0.1, 6.4
2021-12, 1.3, Niedersachsen, 3, 0.1083, 7.7
2021-13, 1.5, Niedersachsen, 3, 0.125, 9.2
2021-14, 0.2, Niedersachsen, 3, 0.0167, 9.4
2021-15, -0.6, Niedersachsen, 3, -0.0682, 8.8
2021-16, -0.1, Niedersachsen, 3, -0.0114, 8.7
2021-17, -1, Niedersachsen, 3, -0.1136, 7.7
2021-18, -1, Niedersachsen, 3, -0.1136, 6.7
2021-19, -0.4, Niedersachsen, 3, -0.0455, 6.3
2021-20, -1.6, Niedersachsen, 3, -0.1818, 4.7
2021-21, -1.2, Niedersachsen, 3, -0.1364, 3.5
2021-22, -1.5, Niedersachsen, 3, -0.1705, 2
2021-23, -0.4, Niedersachsen, 3, -0.0455, 1.6
2021-24, -0.8, Niedersachsen, 3, -0.0909, 0.8
2021-25, -0.3, Niedersachsen, 3, -0.0341, 0.5
2021-26, -0.1, Niedersachsen, 3, -0.0114, 0.4
2021-27, , Niedersachsen, 3, , 0.4
2021-28, 0.5, Niedersachsen, 3, 0.0417, 0.9
2021-29, 0.1, Niedersachsen, 3, 0.0083, 1
2021-30, 0.3, Niedersachsen, 3, 0.025, 1.3
2021-31, 0.1, Niedersachsen, 3, 0.0083, 1.4
2021-32, 0.9, Niedersachsen, 3, 0.075, 2.3
2021-33, 1.3, Niedersachsen, 3, 0.1083, 3.6
2021-34, 1.2, Niedersachsen, 3, 0.1, 4.8
2021-35, 2.6, Niedersachsen, 3, 0.2167, 7.4
2021-36, -1.1, Niedersachsen, 3, -0.125, 6.3
2021-37, -1.1, Niedersachsen, 3, -0.125, 5.2
2021-38, -1.1, Niedersachsen, 3, -0.125, 4.1
2021-39, , Niedersachsen, 3, , 4.1
2021-40, 0.3, Niedersachsen, 3, 0.025, 4.4
2021-41, 0.4, Niedersachsen, 3, 0.0333, 4.8
2021-42, 1.7, Niedersachsen, 3, 0.1417, 6.5
2021-43, 1.8, Niedersachsen, 3, 0.15, 8.3
2021-44, 1.1, Niedersachsen, 3, 0.0917, 9.4
2021-45, 1.5, Niedersachsen, 3, 0.125, 10.9
2021-46, 2.5, Niedersachsen, 3, 0.2083, 13.4
2021-47, 1.7, Niedersachsen, 3, 0.1417, 15.1
2021-48, , Niedersachsen, 3, , 15.1
2021-49, 0.3, Niedersachsen, 3, 0.025, 15.4
2021-50, -0.6, Niedersachsen, 3, -0.0682, 14.8
2021-51, 0.2, Niedersachsen, 3, 0.0167, 15
2021-52, 3.9, Niedersachsen, 3, 0.325, 18.9
2022-01, -0.6, Niedersachsen, 3, -0.0682, 18.3
2022-02, 5.6, Niedersachsen, 3, 0.4667, 23.9
2022-03, 10.2, Niedersachsen, 3, 0.85, 34.1
2022-04, 7.9, Niedersachsen, 3, 0.6583, 42
2022-05, 6.4, Niedersachsen, 3, 0.5333, 48.4
2022-06, , Niedersachsen, 3, , 48.4
