Altersgruppe, Week, difference, trend, value
>=80, 2020-12, , , 10.9
>=80, 2020-13, 4.2, 0.4421, 15.1
>=80, 2020-14, -0.8, -0.129, 14.3
>=80, 2020-15, -3.8, -0.6129, 10.5
>=80, 2020-16, -2.2, -0.3548, 8.3
>=80, 2020-17, -2.3, -0.371, 6
>=80, 2020-18, -1.5, -0.2419, 4.5
>=80, 2020-19, -1.8, -0.2903, 2.7
>=80, 2020-20, -0.8, -0.129, 1.9
>=80, 2020-21, -0.5, -0.0806, 1.4
>=80, 2020-22, -0.6, -0.0968, 0.8
>=80, 2020-23, -0.3, -0.0484, 0.5
>=80, 2020-24, , , 0.5
>=80, 2020-25, -0.2, -0.0323, 0.3
>=80, 2020-26, , , 0.3
>=80, 2020-27, -0.1, -0.0161, 0.2
>=80, 2020-28, , , 0.2
>=80, 2020-29, 0.1, 0.0105, 0.3
>=80, 2020-30, , , 0.3
>=80, 2020-31, , , 0.3
>=80, 2020-32, , , 0.3
>=80, 2020-33, , , 0.3
>=80, 2020-34, -0.1, -0.0161, 0.2
>=80, 2020-35, , , 0.2
>=80, 2020-36, 0.1, 0.0105, 0.3
>=80, 2020-37, 0.1, 0.0105, 0.4
>=80, 2020-38, 0.2, 0.0211, 0.6
>=80, 2020-39, 0.2, 0.0211, 0.8
>=80, 2020-40, 0.1, 0.0105, 0.9
>=80, 2020-41, 0.6, 0.0632, 1.5
>=80, 2020-42, 1.1, 0.1158, 2.6
>=80, 2020-43, 2.3, 0.2421, 4.9
>=80, 2020-44, 1.7, 0.1789, 6.6
>=80, 2020-45, 1.9, 0.2, 8.5
>=80, 2020-46, 1.4, 0.1474, 9.9
>=80, 2020-47, 2, 0.2105, 11.9
>=80, 2020-48, 1.9, 0.2, 13.8
>=80, 2020-49, 1.8, 0.1895, 15.6
>=80, 2020-50, 2.4, 0.2526, 18
>=80, 2020-51, 1.4, 0.1474, 19.4
>=80, 2020-52, 2.7, 0.2842, 22.1
>=80, 2020-53, -0.3, -0.0484, 21.8
>=80, 2021-01, -3, -0.4839, 18.8
>=80, 2021-02, -2.1, -0.3387, 16.7
>=80, 2021-03, -1.1, -0.1774, 15.6
>=80, 2021-04, -1.9, -0.3065, 13.7
>=80, 2021-05, -2.4, -0.3871, 11.3
>=80, 2021-06, -2.2, -0.3548, 9.1
>=80, 2021-07, -1.5, -0.2419, 7.6
>=80, 2021-08, -1, -0.1613, 6.6
>=80, 2021-09, -1.2, -0.1935, 5.4
>=80, 2021-10, -0.3, -0.0484, 5.1
>=80, 2021-11, 0.2, 0.0211, 5.3
>=80, 2021-12, 0.4, 0.0421, 5.7
>=80, 2021-13, 0.5, 0.0526, 6.2
>=80, 2021-14, -0.2, -0.0323, 6
>=80, 2021-15, -0.1, -0.0161, 5.9
>=80, 2021-16, -0.1, -0.0161, 5.8
>=80, 2021-17, -0.6, -0.0968, 5.2
>=80, 2021-18, -0.7, -0.1129, 4.5
>=80, 2021-19, -0.8, -0.129, 3.7
>=80, 2021-20, -1, -0.1613, 2.7
>=80, 2021-21, -0.6, -0.0968, 2.1
>=80, 2021-22, -0.8, -0.129, 1.3
>=80, 2021-23, -0.5, -0.0806, 0.8
>=80, 2021-24, -0.3, -0.0484, 0.5
>=80, 2021-25, -0.1, -0.0161, 0.4
>=80, 2021-26, -0.2, -0.0323, 0.2
>=80, 2021-27, 0.1, 0.0105, 0.3
>=80, 2021-28, , , 0.3
>=80, 2021-29, , , 0.3
>=80, 2021-30, 0.2, 0.0211, 0.5
>=80, 2021-31, 0.1, 0.0105, 0.6
>=80, 2021-32, 0.3, 0.0316, 0.9
>=80, 2021-33, 0.4, 0.0421, 1.3
>=80, 2021-34, 0.6, 0.0632, 1.9
>=80, 2021-35, 0.5, 0.0526, 2.4
>=80, 2021-36, 0.4, 0.0421, 2.8
>=80, 2021-37, , , 2.8
>=80, 2021-38, -0.2, -0.0323, 2.6
>=80, 2021-39, 0.3, 0.0316, 2.9
>=80, 2021-40, 0.5, 0.0526, 3.4
>=80, 2021-41, 0.8, 0.0842, 4.2
>=80, 2021-42, 2, 0.2105, 6.2
>=80, 2021-43, 1.7, 0.1789, 7.9
>=80, 2021-44, 2.3, 0.2421, 10.2
>=80, 2021-45, 1.6, 0.1684, 11.8
>=80, 2021-46, 2.5, 0.2632, 14.3
>=80, 2021-47, 0.9, 0.0947, 15.2
>=80, 2021-48, -1, -0.1613, 14.2
>=80, 2021-49, -1.2, -0.1935, 13
>=80, 2021-50, -1.8, -0.2903, 11.2
>=80, 2021-51, -1.1, -0.1774, 10.1
>=80, 2021-52, -0.8, -0.129, 9.3
>=80, 2022-01, -1.2, -0.1935, 8.1
>=80, 2022-02, 0.5, 0.0526, 8.6
>=80, 2022-03, 3.7, 0.3895, 12.3
>=80, 2022-04, 3.8, 0.4, 16.1
>=80, 2022-05, 4.4, 0.4632, 20.5
>=80, 2022-06, 3.5, 0.3684, 24
>=80, 2022-07, 1.9, 0.2, 25.9
>=80, 2022-08, 1.4, 0.1474, 27.3
>=80, 2022-09, -0.4, -0.0645, 26.9
>=80, 2022-10, 4, 0.4211, 30.9
>=80, 2022-11, 4.1, 0.4316, 35
>=80, 2022-12, 0.4, 0.0421, 35.4
>=80, 2022-13, -3.2, -0.5161, 32.2
>=80, 2022-14, -3.8, -0.6129, 28.4
>=80, 2022-15, -1.2, -0.1935, 27.2
>=80, 2022-16, -3.8, -0.6129, 23.4
>=80, 2022-17, -3, -0.4839, 20.4
>=80, 2022-18, -4, -0.6452, 16.4
>=80, 2022-19, -2.5, -0.4032, 13.9
>=80, 2022-20, -2.7, -0.4355, 11.2
>=80, 2022-21, -2.1, -0.3387, 9.1
>=80, 2022-22, -0.3, -0.0484, 8.8
>=80, 2022-23, 2.1, 0.2211, 10.9
>=80, 2022-24, 2.9, 0.3053, 13.8
>=80, 2022-25, 4.5, 0.4737, 18.3
>=80, 2022-26, 2, 0.2105, 20.3
>=80, 2022-27, 1.7, 0.1789, 22
>=80, 2022-28, 3.3, 0.3474, 25.3
>=80, 2022-29, 1.8, 0.1895, 27.1
>=80, 2022-30, -2.2, -0.3548, 24.9
>=80, 2022-31, -3.2, -0.5161, 21.7
>=80, 2022-32, -2.5, -0.4032, 19.2
>=80, 2022-33, -1.5, -0.2419, 17.7
>=80, 2022-34, -3.3, -0.5323, 14.4
>=80, 2022-35, -1.2, -0.1935, 13.2
>=80, 2022-36, 0.1, 0.0105, 13.3
>=80, 2022-37, 0.8, 0.0842, 14.1
>=80, 2022-38, 3.1, 0.3263, 17.2
>=80, 2022-39, 9.5, 1, 26.7
>=80, 2022-40, 7.6, 0.8, 34.3
>=80, 2022-41, 2.9, 0.3053, 37.2
>=80, 2022-42, -1.2, -0.1935, 36
>=80, 2022-43, -5.4, -0.871, 30.6
>=80, 2022-44, -6.1, -0.9839, 24.5
>=80, 2022-45, -4.7, -0.7581, 19.8
>=80, 2022-46, -2.8, -0.4516, 17
>=80, 2022-47, 0.1, 0.0105, 17.1
>=80, 2022-48, 2.2, 0.2316, 19.3
>=80, 2022-49, 2.7, 0.2842, 22
>=80, 2022-50, 3.2, 0.3368, 25.2
>=80, 2022-51, 5, 0.5263, 30.2
>=80, 2022-52, -2.2, -0.3548, 28
>=80, 2023-01, -5.7, -0.9194, 22.3
>=80, 2023-02, -6.2, -1, 16.1
>=80, 2023-03, -4, -0.6452, 12.1
>=80, 2023-04, -1.2, -0.1935, 10.9
>=80, 2023-05, 0.8, 0.0842, 11.7
>=80, 2023-06, 3.5, 0.3684, 15.2
>=80, 2023-07, 2.9, 0.3053, 18.1
>=80, 2023-08, 1.8, 0.1895, 19.9
