Meldedatum, difference, region, region_id, trend, value
2020-03-02, , Schleswig-Holstein, 1, , 0.1
2020-03-03, , Schleswig-Holstein, 1, , 0.1
2020-03-04, , Schleswig-Holstein, 1, , 0.2
2020-03-05, , Schleswig-Holstein, 1, , 0.2
2020-03-06, , Schleswig-Holstein, 1, , 0.2
2020-03-07, 0.1369, Schleswig-Holstein, 1, 0.0002, 0.2
2020-03-08, 0.1369, Schleswig-Holstein, 1, 0.0002, 0.2
2020-03-09, 0.1369, Schleswig-Holstein, 1, 0.0002, 0.2
2020-03-10, 0.1027, Schleswig-Holstein, 1, 0.0002, 0.3
2020-03-11, 0.2738, Schleswig-Holstein, 1, 0.0004, 0.5
2020-03-12, 0.7529, Schleswig-Holstein, 1, 0.0012, 1.1
2020-03-13, 1.1294, Schleswig-Holstein, 1, 0.0018, 1.7
2020-03-14, 1.4374, Schleswig-Holstein, 1, 0.0023, 2.6
2020-03-15, 2.2929, Schleswig-Holstein, 1, 0.0037, 3.4
2020-03-16, 3.0459, Schleswig-Holstein, 1, 0.0049, 4.1
2020-03-17, 3.7645, Schleswig-Holstein, 1, 0.0061, 5
2020-03-18, 4.4832, Schleswig-Holstein, 1, 0.0073, 6.3
2020-03-19, 4.8255, Schleswig-Holstein, 1, 0.0078, 7.5
2020-03-20, 6.0575, Schleswig-Holstein, 1, 0.0098, 8.9
2020-03-21, 6.2286, Schleswig-Holstein, 1, 0.0101, 10.6
2020-03-22, 5.9206, Schleswig-Holstein, 1, 0.0096, 11.4
2020-03-23, 5.681, Schleswig-Holstein, 1, 0.0092, 11.8
2020-03-24, 7.3922, Schleswig-Holstein, 1, 0.012, 14
2020-03-25, 8.282, Schleswig-Holstein, 1, 0.0134, 15.8
2020-03-26, 8.9322, Schleswig-Holstein, 1, 0.0145, 17
2020-03-27, 9.9247, Schleswig-Holstein, 1, 0.0161, 18.2
2020-03-28, 10.5407, Schleswig-Holstein, 1, 0.0171, 19.6
2020-03-29, 11.4647, Schleswig-Holstein, 1, 0.0186, 20.8
2020-03-30, 11.1909, Schleswig-Holstein, 1, 0.0181, 21.1
2020-03-31, 8.0082, Schleswig-Holstein, 1, 0.013, 20.6
2020-04-01, 7.0157, Schleswig-Holstein, 1, 0.0114, 20.7
2020-04-02, 5.5784, Schleswig-Holstein, 1, 0.009, 21.2
2020-04-03, 3.217, Schleswig-Holstein, 1, 0.0052, 21.7
2020-04-04, 2.1218, Schleswig-Holstein, 1, 0.0034, 21.6
2020-04-05, 0.2738, Schleswig-Holstein, 1, 0.0004, 21.1
2020-04-06, -0.0684, Schleswig-Holstein, 1, -0.0001, 20.8
2020-04-07, -0.1369, Schleswig-Holstein, 1, -0.0003, 20.3
2020-04-08, -1.232, Schleswig-Holstein, 1, -0.0027, 20.5
2020-04-09, -1.6085, Schleswig-Holstein, 1, -0.0035, 20.2
2020-04-10, -2.2245, Schleswig-Holstein, 1, -0.0048, 19.5
2020-04-11, -5.0308, Schleswig-Holstein, 1, -0.0109, 16.8
2020-04-12, -5.1677, Schleswig-Holstein, 1, -0.0112, 15.9
2020-04-13, -5.6126, Schleswig-Holstein, 1, -0.0122, 15.2
2020-04-14, -5.8179, Schleswig-Holstein, 1, -0.0126, 16.5
2020-04-15, -6.0917, Schleswig-Holstein, 1, -0.0132, 13.3
2020-04-16, -7.1868, Schleswig-Holstein, 1, -0.0156, 11.6
2020-04-17, -8.1793, Schleswig-Holstein, 1, -0.0178, 10.3
2020-04-18, -5.3388, Schleswig-Holstein, 1, -0.0116, 10.5
2020-04-19, -5.2019, Schleswig-Holstein, 1, -0.0113, 10
2020-04-20, -4.9623, Schleswig-Holstein, 1, -0.0108, 9.7
2020-04-21, -6.5708, Schleswig-Holstein, 1, -0.0143, 7.3
2020-04-22, -4.9966, Schleswig-Holstein, 1, -0.0109, 8
2020-04-23, -3.7988, Schleswig-Holstein, 1, -0.0083, 7.8
2020-04-24, -3.3196, Schleswig-Holstein, 1, -0.0072, 7.4
2020-04-25, -3.1143, Schleswig-Holstein, 1, -0.0068, 7.4
2020-04-26, -3.0116, Schleswig-Holstein, 1, -0.0065, 7
2020-04-27, -2.8063, Schleswig-Holstein, 1, -0.0061, 6.9
2020-04-28, -0.5818, Schleswig-Holstein, 1, -0.0013, 6.4
2020-04-29, -2.0192, Schleswig-Holstein, 1, -0.0044, 5.9
2020-04-30, -2.3956, Schleswig-Holstein, 1, -0.0052, 5.3
