Altersgruppe, Week, difference, trend, value
35-59, 2020-12, , , 8.5
35-59, 2020-13, 0.7, 0.0667, 9.2
35-59, 2020-14, -0.8, -0.0721, 8.4
35-59, 2020-15, -1.2, -0.1081, 7.2
35-59, 2020-16, -1.4, -0.1261, 5.8
35-59, 2020-17, -1.8, -0.1622, 4
35-59, 2020-18, -1, -0.0901, 3
35-59, 2020-19, -1.1, -0.0991, 1.9
35-59, 2020-20, -0.4, -0.036, 1.5
35-59, 2020-21, -0.2, -0.018, 1.3
35-59, 2020-22, -0.4, -0.036, 0.9
35-59, 2020-23, -0.1, -0.009, 0.8
35-59, 2020-24, -0.1, -0.009, 0.7
35-59, 2020-25, 0.3, 0.0286, 1
35-59, 2020-26, -0.3, -0.027, 0.7
35-59, 2020-27, -0.1, -0.009, 0.6
35-59, 2020-28, , , 0.6
35-59, 2020-29, 0.1, 0.0095, 0.7
35-59, 2020-30, 0.1, 0.0095, 0.8
35-59, 2020-31, 0.1, 0.0095, 0.9
35-59, 2020-32, 0.1, 0.0095, 1
35-59, 2020-33, -0.1, -0.009, 0.9
35-59, 2020-34, -0.1, -0.009, 0.8
35-59, 2020-35, -0.1, -0.009, 0.7
35-59, 2020-36, -0.1, -0.009, 0.6
35-59, 2020-37, 0.2, 0.019, 0.8
35-59, 2020-38, 0.3, 0.0286, 1.1
35-59, 2020-39, , , 1.1
35-59, 2020-40, 0.4, 0.0381, 1.5
35-59, 2020-41, 0.7, 0.0667, 2.2
35-59, 2020-42, 1.5, 0.1429, 3.7
35-59, 2020-43, 2.2, 0.2095, 5.9
35-59, 2020-44, 1.5, 0.1429, 7.4
35-59, 2020-45, 0.5, 0.0476, 7.9
35-59, 2020-46, 1, 0.0952, 8.9
35-59, 2020-47, 0.5, 0.0476, 9.4
35-59, 2020-48, -0.4, -0.036, 9
35-59, 2020-49, 0.8, 0.0762, 9.8
35-59, 2020-50, 1.3, 0.1238, 11.1
35-59, 2020-51, -0.8, -0.0721, 10.3
35-59, 2020-52, 1.8, 0.1714, 12.1
35-59, 2020-53, 3, 0.2857, 15.1
35-59, 2021-01, -2.8, -0.2523, 12.3
35-59, 2021-02, -3.1, -0.2793, 9.2
35-59, 2021-03, -0.5, -0.045, 8.7
35-59, 2021-04, -0.9, -0.0811, 7.8
35-59, 2021-05, -1.3, -0.1171, 6.5
35-59, 2021-06, -0.7, -0.0631, 5.8
35-59, 2021-07, -0.2, -0.018, 5.6
35-59, 2021-08, 0.4, 0.0381, 6
35-59, 2021-09, 0.2, 0.019, 6.2
35-59, 2021-10, 1, 0.0952, 7.2
35-59, 2021-11, 1.4, 0.1333, 8.6
35-59, 2021-12, 1.4, 0.1333, 10
35-59, 2021-13, 1.9, 0.181, 11.9
35-59, 2021-14, 1.5, 0.1429, 13.4
35-59, 2021-15, -0.7, -0.0631, 12.7
35-59, 2021-16, 0.7, 0.0667, 13.4
35-59, 2021-17, -0.9, -0.0811, 12.5
35-59, 2021-18, -1.3, -0.1171, 11.2
35-59, 2021-19, -1.2, -0.1081, 10
35-59, 2021-20, -3, -0.2703, 7
35-59, 2021-21, -1.9, -0.1712, 5.1
35-59, 2021-22, -1.4, -0.1261, 3.7
35-59, 2021-23, -1, -0.0901, 2.7
35-59, 2021-24, -1, -0.0901, 1.7
35-59, 2021-25, -0.5, -0.045, 1.2
35-59, 2021-26, -0.3, -0.027, 0.9
35-59, 2021-27, , , 0.9
35-59, 2021-28, 0.5, 0.0476, 1.4
35-59, 2021-29, 0.5, 0.0476, 1.9
35-59, 2021-30, 0.8, 0.0762, 2.7
35-59, 2021-31, 1, 0.0952, 3.7
35-59, 2021-32, 2, 0.1905, 5.7
35-59, 2021-33, 2.7, 0.2571, 8.4
35-59, 2021-34, 1.6, 0.1524, 10
35-59, 2021-35, 0.5, 0.0476, 10.5
35-59, 2021-36, -0.8, -0.0721, 9.7
35-59, 2021-37, -1.1, -0.0991, 8.6
35-59, 2021-38, -1.2, -0.1081, 7.4
35-59, 2021-39, 0.2, 0.019, 7.6
35-59, 2021-40, 0.1, 0.0095, 7.7
35-59, 2021-41, 1.2, 0.1143, 8.9
35-59, 2021-42, 2.9, 0.2762, 11.8
35-59, 2021-43, 2.7, 0.2571, 14.5
35-59, 2021-44, 3.8, 0.3619, 18.3
35-59, 2021-45, 1.4, 0.1333, 19.7
35-59, 2021-46, 2.8, 0.2667, 22.5
35-59, 2021-47, 1.6, 0.1524, 24.1
35-59, 2021-48, -0.3, -0.027, 23.8
35-59, 2021-49, -1.1, -0.0991, 22.7
35-59, 2021-50, -2.1, -0.1892, 20.6
35-59, 2021-51, -1.5, -0.1351, 19.1
35-59, 2021-52, 2.9, 0.2762, 22
35-59, 2022-01, -0.5, -0.045, 21.5
35-59, 2022-02, 4.4, 0.419, 25.9
35-59, 2022-03, 11.3, 1.0762, 37.2
35-59, 2022-04, 8.9, 0.8476, 46.1
35-59, 2022-05, 3.7, 0.3524, 49.8
35-59, 2022-06, , , 49.8
35-59, 2022-07, 2, 0.1905, 51.8
35-59, 2022-08, -0.4, -0.036, 51.4
35-59, 2022-09, 2.8, 0.2667, 54.2
35-59, 2022-10, 4.4, 0.419, 58.6
35-59, 2022-11, 3, 0.2857, 61.6
35-59, 2022-12, -0.4, -0.036, 61.2
35-59, 2022-13, -4.2, -0.3784, 57
35-59, 2022-14, -2.4, -0.2162, 54.6
35-59, 2022-15, 2.8, 0.2667, 57.4
35-59, 2022-16, -4.1, -0.3694, 53.3
35-59, 2022-17, -8.5, -0.7658, 44.8
35-59, 2022-18, -1.8, -0.1622, 43
35-59, 2022-19, -3.2, -0.2883, 39.8
35-59, 2022-20, -6.7, -0.6036, 33.1
35-59, 2022-21, -3.8, -0.3423, 29.3
35-59, 2022-22, 5, 0.4762, 34.3
35-59, 2022-23, 10.2, 0.9714, 44.5
35-59, 2022-24, 5.3, 0.5048, 49.8
35-59, 2022-25, 4.3, 0.4095, 54.1
35-59, 2022-26, 2.8, 0.2667, 56.9
35-59, 2022-27, 0.5, 0.0476, 57.4
35-59, 2022-28, 1.3, 0.1238, 58.7
35-59, 2022-29, -1.5, -0.1351, 57.2
35-59, 2022-30, -4.9, -0.4414, 52.3
35-59, 2022-31, -5.6, -0.5045, 46.7
35-59, 2022-32, -3.4, -0.3063, 43.3
35-59, 2022-33, -2.5, -0.2252, 40.8
35-59, 2022-34, -4.1, -0.3694, 36.7
35-59, 2022-35, -3.4, -0.3063, 33.3
35-59, 2022-36, 0.4, 0.0381, 33.7
35-59, 2022-37, 1.4, 0.1333, 35.1
35-59, 2022-38, 5.2, 0.4952, 40.3
35-59, 2022-39, 10.5, 1, 50.8
35-59, 2022-40, 6.7, 0.6381, 57.5
35-59, 2022-41, -2.9, -0.2613, 54.6
35-59, 2022-42, -3.5, -0.3153, 51.1
35-59, 2022-43, -6.3, -0.5676, 44.8
35-59, 2022-44, -7.4, -0.6667, 37.4
35-59, 2022-45, -7.1, -0.6396, 30.3
35-59, 2022-46, -2.4, -0.2162, 27.9
35-59, 2022-47, 0.5, 0.0476, 28.4
35-59, 2022-48, 2.2, 0.2095, 30.6
35-59, 2022-49, 2.7, 0.2571, 33.3
35-59, 2022-50, 2.4, 0.2286, 35.7
35-59, 2022-51, 7.2, 0.6857, 42.9
35-59, 2022-52, -3.5, -0.3153, 39.4
35-59, 2023-01, -11.1, -1, 28.3
35-59, 2023-02, -9, -0.8108, 19.3
35-59, 2023-03, -1.9, -0.1712, 17.4
35-59, 2023-04, 3.9, 0.3714, 21.3
35-59, 2023-05, 3.5, 0.3333, 24.8
35-59, 2023-06, 0.9, 0.0857, 25.7
35-59, 2023-07, 2.8, 0.2667, 28.5
35-59, 2023-08, 4.2, 0.4, 32.7
