Week, difference, trend, value
2020-11, , , 5.8024
2020-12, 1.1091, 0.1112, 6.9115
2020-13, 1.8647, 0.1869, 8.7762
2020-14, 0.2383, 0.0239, 9.0146
2020-15, -1.0064, -0.113, 8.0082
2020-16, -1.3243, -0.1488, 6.6839
2020-17, -1.6992, -0.1909, 4.9846
2020-18, -1.1408, -0.1281, 3.8438
2020-19, -1.2038, -0.1352, 2.64
2020-20, -0.9856, -0.1107, 1.6545
2020-21, -0.1635, -0.0184, 1.4909
2020-22, -0.4286, -0.0481, 1.0623
2020-23, -0.122, -0.0137, 0.9403
2020-24, -0.0391, -0.0044, 0.9013
2020-25, 0.5508, 0.0552, 1.4521
2020-26, -0.6232, -0.07, 0.8289
2020-27, -0.2043, -0.0229, 0.6246
2020-28, -0.0323, -0.0036, 0.5923
2020-29, 0.0706, 0.0071, 0.663
2020-30, 0.1521, 0.0152, 0.8151
2020-31, 0.1842, 0.0185, 0.9993
2020-32, 0.0256, 0.0026, 1.0249
2020-33, -0.0441, -0.005, 0.9808
2020-34, -0.1236, -0.0139, 0.8573
2020-35, -0.1275, -0.0143, 0.7298
2020-36, 0.0493, 0.0049, 0.7791
2020-37, 0.1268, 0.0127, 0.9058
2020-38, 0.2831, 0.0284, 1.1889
2020-39, 0.0549, 0.0055, 1.2438
2020-40, 0.5213, 0.0523, 1.7651
2020-41, 0.714, 0.0716, 2.4791
2020-42, 1.1025, 0.1105, 3.5816
2020-43, 1.9597, 0.1964, 5.5413
2020-44, 1.5568, 0.156, 7.0981
2020-45, 0.7648, 0.0767, 7.8629
2020-46, 0.9269, 0.0929, 8.7898
2020-47, 0.5796, 0.0581, 9.3694
2020-48, -0.0377, -0.0042, 9.3317
2020-49, 0.577, 0.0578, 9.9087
2020-50, 1.2731, 0.1276, 11.1818
2020-51, 0.2546, 0.0255, 11.4364
2020-52, 1.5329, 0.1536, 12.9692
2020-53, 2.3938, 0.24, 15.3631
2021-01, -2.5534, -0.2868, 12.8096
2021-02, -2.3698, -0.2662, 10.4398
2021-03, -0.55, -0.0618, 9.8898
2021-04, -1.432, -0.1609, 8.4578
2021-05, -0.9741, -0.1094, 7.4838
2021-06, -1.086, -0.122, 6.3977
2021-07, -0.2687, -0.0302, 6.129
2021-08, 0.0065, 0.0007, 6.1356
2021-09, 0.066, 0.0066, 6.2016
2021-10, 0.4729, 0.0474, 6.6745
2021-11, 1.1959, 0.1199, 7.8704
2021-12, 1.4252, 0.1429, 9.2957
2021-13, 1.6091, 0.1613, 10.9048
2021-14, 1.1095, 0.1112, 12.0144
2021-15, 0.3931, 0.0394, 12.4075
2021-16, -0.0304, -0.0034, 12.377
2021-17, -1.2386, -0.1391, 11.1384
2021-18, -0.9215, -0.1035, 10.2169
2021-19, -2.0277, -0.2278, 8.1892
2021-20, -2.4363, -0.2737, 5.7529
2021-21, -1.6152, -0.1814, 4.1376
2021-22, -1.0303, -0.1157, 3.1074
2021-23, -0.805, -0.0904, 2.3024
2021-24, -0.8759, -0.0984, 1.4265
2021-25, -0.4599, -0.0517, 0.9666
2021-26, -0.1572, -0.0177, 0.8094
2021-27, 0.3092, 0.031, 1.1186
2021-28, 0.4938, 0.0495, 1.6124
2021-29, 0.694, 0.0696, 2.3064
2021-30, 0.6063, 0.0608, 2.9127
2021-31, 0.8763, 0.0878, 3.789
2021-32, 2.2, 0.2205, 5.9889
2021-33, 1.7749, 0.1779, 7.7638
2021-34, 0.3866, 0.0388, 8.1504
2021-35, 0.4877, 0.0489, 8.6381
2021-36, -0.7532, -0.0846, 7.8849
2021-37, -0.5181, -0.0582, 7.3667
2021-38, -0.9947, -0.1117, 6.372
2021-39, -0.0032, -0.0004, 6.3688
2021-40, 0.0876, 0.0088, 6.4564
2021-41, 1.6157, 0.162, 8.0721
2021-42, 2.739, 0.2745, 10.8111
2021-43, 1.2721, 0.1275, 12.0832
2021-44, 3.6931, 0.3702, 15.7763
2021-45, 1.3057, 0.1309, 17.0821
2021-46, 2.5236, 0.253, 19.6056
2021-47, 1.3718, 0.1375, 20.9775
2021-48, -0.4138, -0.0465, 20.5637
2021-49, -0.9006, -0.1012, 19.663
