Week, difference, region, region_id, trend, value
2020-12, , Berlin, 11, , 6.4
2020-13, 2.4, Berlin, 11, 0.6, 8.8
2020-14, -0.2, Berlin, 11, -0.0741, 8.6
2020-15, -2.6, Berlin, 11, -0.963, 6
2020-16, -1.6, Berlin, 11, -0.5926, 4.4
2020-17, -0.5, Berlin, 11, -0.1852, 3.9
2020-18, -0.3, Berlin, 11, -0.1111, 3.6
2020-19, -0.9, Berlin, 11, -0.3333, 2.7
2020-20, -0.7, Berlin, 11, -0.2593, 2
2020-21, -0.7, Berlin, 11, -0.2593, 1.3
2020-22, -0.1, Berlin, 11, -0.037, 1.2
2020-23, -0.2, Berlin, 11, -0.0741, 1
2020-24, 0.2, Berlin, 11, 0.05, 1.2
2020-25, 0.1, Berlin, 11, 0.025, 1.3
2020-26, -0.2, Berlin, 11, -0.0741, 1.1
2020-27, -0.2, Berlin, 11, -0.0741, 0.9
2020-28, -0.3, Berlin, 11, -0.1111, 0.6
2020-29, -0.1, Berlin, 11, -0.037, 0.5
2020-30, 0.1, Berlin, 11, 0.025, 0.6
2020-31, 0.1, Berlin, 11, 0.025, 0.7
2020-32, 0.2, Berlin, 11, 0.05, 0.9
2020-33, -0.1, Berlin, 11, -0.037, 0.8
2020-34, -0.1, Berlin, 11, -0.037, 0.7
2020-35, , Berlin, 11, , 0.7
2020-36, , Berlin, 11, , 0.7
2020-37, 0.1, Berlin, 11, 0.025, 0.8
2020-38, 0.6, Berlin, 11, 0.15, 1.4
2020-39, 0.3, Berlin, 11, 0.075, 1.7
2020-40, 0.6, Berlin, 11, 0.15, 2.3
2020-41, 0.9, Berlin, 11, 0.225, 3.2
2020-42, 1.3, Berlin, 11, 0.325, 4.5
2020-43, 2.1, Berlin, 11, 0.525, 6.6
2020-44, 1.2, Berlin, 11, 0.3, 7.8
2020-45, 0.4, Berlin, 11, 0.1, 8.2
2020-46, -0.1, Berlin, 11, -0.037, 8.1
2020-47, 0.2, Berlin, 11, 0.05, 8.3
2020-48, -0.1, Berlin, 11, -0.037, 8.2
2020-49, 0.1, Berlin, 11, 0.025, 8.3
2020-50, 1.8, Berlin, 11, 0.45, 10.1
2020-51, -0.8, Berlin, 11, -0.2963, 9.3
2020-52, 2.7, Berlin, 11, 0.675, 12
2020-53, 2.7, Berlin, 11, 0.675, 14.7
2021-01, -2.9, Berlin, 11, -1.0741, 11.8
2021-02, -2.1, Berlin, 11, -0.7778, 9.7
2021-03, -1.4, Berlin, 11, -0.5185, 8.3
2021-04, -1.8, Berlin, 11, -0.6667, 6.5
2021-05, -1.6, Berlin, 11, -0.5926, 4.9
2021-06, -0.8, Berlin, 11, -0.2963, 4.1
2021-07, -0.5, Berlin, 11, -0.1852, 3.6
2021-08, 0.1, Berlin, 11, 0.025, 3.7
2021-09, -0.1, Berlin, 11, -0.037, 3.6
2021-10, 0.6, Berlin, 11, 0.15, 4.2
2021-11, -0.6, Berlin, 11, -0.2222, 3.6
2021-12, 0.3, Berlin, 11, 0.075, 3.9
2021-13, 1.3, Berlin, 11, 0.325, 5.2
2021-14, 1.1, Berlin, 11, 0.275, 6.3
2021-15, -0.3, Berlin, 11, -0.1111, 6
2021-16, 0.1, Berlin, 11, 0.025, 6.1
2021-17, -1.1, Berlin, 11, -0.4074, 5
2021-18, -0.6, Berlin, 11, -0.2222, 4.4
2021-19, -0.6, Berlin, 11, -0.2222, 3.8
2021-20, -1.2, Berlin, 11, -0.4444, 2.6
2021-21, -0.7, Berlin, 11, -0.2593, 1.9
2021-22, -0.8, Berlin, 11, -0.2963, 1.1
2021-23, -0.4, Berlin, 11, -0.1481, 0.7
2021-24, -0.2, Berlin, 11, -0.0741, 0.5
2021-25, -0.1, Berlin, 11, -0.037, 0.4
2021-26, 0.1, Berlin, 11, 0.025, 0.5
2021-27, -0.1, Berlin, 11, -0.037, 0.4
2021-28, 0.1, Berlin, 11, 0.025, 0.5
2021-29, 0.1, Berlin, 11, 0.025, 0.6
2021-30, 0.6, Berlin, 11, 0.15, 1.2
2021-31, 0.7, Berlin, 11, 0.175, 1.9
2021-32, 0.4, Berlin, 11, 0.1, 2.3
2021-33, -0.1, Berlin, 11, -0.037, 2.2
2021-34, 0.6, Berlin, 11, 0.15, 2.8
2021-35, , Berlin, 11, , 2.8
2021-36, 0.1, Berlin, 11, 0.025, 2.9
2021-37, -0.3, Berlin, 11, -0.1111, 2.6
2021-38, 0.1, Berlin, 11, 0.025, 2.7
2021-39, 0.1, Berlin, 11, 0.025, 2.8
2021-40, 0.5, Berlin, 11, 0.125, 3.3
2021-41, , Berlin, 11, , 3.3
2021-42, 0.5, Berlin, 11, 0.125, 3.8
2021-43, 1.4, Berlin, 11, 0.35, 5.2
2021-44, 0.6, Berlin, 11, 0.15, 5.8
2021-45, 1.1, Berlin, 11, 0.275, 6.9
2021-46, 0.7, Berlin, 11, 0.175, 7.6
2021-47, -0.4, Berlin, 11, -0.1481, 7.2
2021-48, -0.1, Berlin, 11, -0.037, 7.1
2021-49, -0.3, Berlin, 11, -0.1111, 6.8
2021-50, , Berlin, 11, , 6.8
2021-51, -0.5, Berlin, 11, -0.1852, 6.3
2021-52, 1.2, Berlin, 11, 0.3, 7.5
2022-01, 2.8, Berlin, 11, 0.7, 10.3
2022-02, 4, Berlin, 11, 1, 14.3
2022-03, 1.5, Berlin, 11, 0.375, 15.8
2022-04, 0.2, Berlin, 11, 0.05, 16
2022-05, 2.9, Berlin, 11, 0.725, 18.9
2022-06, -1.3, Berlin, 11, -0.4815, 17.6
2022-07, -2.2, Berlin, 11, -0.8148, 15.4
2022-08, -0.8, Berlin, 11, -0.2963, 14.6
2022-09, -0.6, Berlin, 11, -0.2222, 14
2022-10, 1.6, Berlin, 11, 0.4, 15.6
2022-11, 1, Berlin, 11, 0.25, 16.6
2022-12, -0.8, Berlin, 11, -0.2963, 15.8
2022-13, -2.7, Berlin, 11, -1, 13.1
2022-14, -0.5, Berlin, 11, -0.1852, 12.6
2022-15, -0.9, Berlin, 11, -0.3333, 11.7
2022-16, -1.1, Berlin, 11, -0.4074, 10.6
2022-17, -1.8, Berlin, 11, -0.6667, 8.8
2022-18, -1.1, Berlin, 11, -0.4074, 7.7
2022-19, -1.1, Berlin, 11, -0.4074, 6.6
2022-20, -1.6, Berlin, 11, -0.5926, 5
2022-21, -0.9, Berlin, 11, -0.3333, 4.1
2022-22, 0.6, Berlin, 11, 0.15, 4.7
2022-23, 1.4, Berlin, 11, 0.35, 6.1
2022-24, 1.3, Berlin, 11, 0.325, 7.4
2022-25, 2.2, Berlin, 11, 0.55, 9.6
2022-26, 1.6, Berlin, 11, 0.4, 11.2
2022-27, 1.2, Berlin, 11, 0.3, 12.4
2022-28, 0.6, Berlin, 11, 0.15, 13
