Meldedatum, difference, trend, value
2022-01-01, , , 93.6281
2022-01-02, , , 93.9506
2022-01-03, , , 92.6137
2022-01-04, , , 92.4929
2022-01-05, , , 92.9397
2022-01-06, , , 91.5836
2022-01-07, , , 93.3305
2022-01-08, -2.7985, -0.4925, 90.8296
2022-01-09, -3.7998, -0.6686, 90.1508
2022-01-10, -3.4881, -0.6138, 89.1256
2022-01-11, -4.0799, -0.7179, 88.413
2022-01-12, -5.6441, -0.9932, 87.2956
2022-01-13, -3.6848, -0.6484, 87.8988
2022-01-14, -5.6317, -0.991, 87.6987
2022-01-15, -2.6733, -0.4704, 88.1563
2022-01-16, -1.0653, -0.1875, 89.0855
2022-01-17, 0.224, 0.0399, 89.3496
2022-01-18, 0.5571, 0.0992, 88.9701
2022-01-19, 2.2284, 0.3966, 89.524
2022-01-20, 0.8403, 0.1496, 88.7391
2022-01-21, 0.8651, 0.154, 88.5638
2022-01-22, 0.2577, 0.0459, 88.414
2022-01-23, -1.1246, -0.1979, 87.9609
2022-01-24, -0.7712, -0.1357, 88.5784
2022-01-25, -0.661, -0.1163, 88.309
2022-01-26, -1.1194, -0.197, 88.4046
2022-01-27, -0.4626, -0.0814, 88.2765
2022-01-28, -0.162, -0.0285, 88.4018
2022-01-29, 0.1173, 0.0209, 88.5313
2022-01-30, 0.1851, 0.033, 88.1461
2022-01-31, -0.6065, -0.1067, 87.9719
2022-02-01, 0.3081, 0.0548, 88.6171
2022-02-02, 0.031, 0.0055, 88.4356
2022-02-03, 1.5106, 0.2689, 89.7871
2022-02-04, 2.4653, 0.4388, 90.867
2022-02-05, 2.4784, 0.4411, 91.0097
2022-02-06, 3.1321, 0.5574, 91.2782
2022-02-07, 3.0823, 0.5486, 91.0542
2022-02-08, 2.508, 0.4464, 91.1251
2022-02-09, 3.4824, 0.6198, 91.918
2022-02-10, 1.424, 0.2534, 91.2111
2022-02-11, -0.6268, -0.1103, 90.2402
2022-02-12, -0.5177, -0.0911, 90.492
2022-02-13, 0.5394, 0.096, 91.8175
2022-02-14, 1.044, 0.1858, 92.0982
2022-02-15, 1.0947, 0.1948, 92.2198
2022-02-16, -0.0775, -0.0136, 91.8405
2022-02-17, 0.7333, 0.1305, 91.9445
2022-02-18, 1.4603, 0.2599, 91.7005
2022-02-19, 1.048, 0.1865, 91.54
2022-02-20, -0.9902, -0.1742, 90.8274
2022-02-21, -1.4587, -0.2567, 90.6395
2022-02-22, -1.3019, -0.2291, 90.9178
2022-02-23, -0.6297, -0.1108, 91.2108
2022-02-24, -0.4733, -0.0833, 91.4712
2022-02-25, -0.2843, -0.05, 91.4162
2022-02-26, 0.3963, 0.0705, 91.9363
2022-02-27, 0.7854, 0.1398, 91.6127
2022-02-28, 1.5434, 0.2747, 92.1829
2022-03-01, 1.4052, 0.2501, 92.323
2022-03-02, 0.4368, 0.0777, 91.6476
2022-03-03, -0.0867, -0.0153, 91.3845
2022-03-04, 0.3047, 0.0542, 91.7209
2022-03-05, -0.5162, -0.0908, 91.4201
2022-03-06, 0.1055, 0.0188, 91.7182
2022-03-07, -0.6467, -0.1138, 91.5362
2022-03-08, -1.3076, -0.2301, 91.0155
2022-03-09, -0.1855, -0.0326, 91.462
2022-03-10, -0.267, -0.047, 91.1174
2022-03-11, -0.7509, -0.1321, 90.97
2022-03-12, -0.1464, -0.0258, 91.2737
2022-03-13, -0.1937, -0.0341, 91.5245
