Week, difference, region, region_id, trend, value
2020-12, , Sachsen-Anhalt, 15, , 2.4
2020-13, 0.6, Sachsen-Anhalt, 15, 0.0504, 3
2020-14, -0.3, Sachsen-Anhalt, 15, -0.0333, 2.7
2020-15, -0.8, Sachsen-Anhalt, 15, -0.0889, 1.9
2020-16, 0.4, Sachsen-Anhalt, 15, 0.0336, 2.3
2020-17, -1.1, Sachsen-Anhalt, 15, -0.1222, 1.2
2020-18, 0.2, Sachsen-Anhalt, 15, 0.0168, 1.4
2020-19, -0.5, Sachsen-Anhalt, 15, -0.0556, 0.9
2020-20, -0.6, Sachsen-Anhalt, 15, -0.0667, 0.3
2020-21, -0.1, Sachsen-Anhalt, 15, -0.0111, 0.2
2020-22, , Sachsen-Anhalt, 15, , 0.2
2020-23, 0.1, Sachsen-Anhalt, 15, 0.0084, 0.3
2020-24, -0.1, Sachsen-Anhalt, 15, -0.0111, 0.2
2020-25, , Sachsen-Anhalt, 15, , 0.2
2020-26, -0.1, Sachsen-Anhalt, 15, -0.0111, 0.1
2020-27, 0.1, Sachsen-Anhalt, 15, 0.0084, 0.2
2020-28, -0.1, Sachsen-Anhalt, 15, -0.0111, 0.1
2020-29, 0.2, Sachsen-Anhalt, 15, 0.0168, 0.3
2020-30, , Sachsen-Anhalt, 15, , 0.3
2020-31, 0.2, Sachsen-Anhalt, 15, 0.0168, 0.5
2020-32, -0.2, Sachsen-Anhalt, 15, -0.0222, 0.3
2020-33, -0.1, Sachsen-Anhalt, 15, -0.0111, 0.2
2020-34, 0.3, Sachsen-Anhalt, 15, 0.0252, 0.5
2020-35, -0.3, Sachsen-Anhalt, 15, -0.0333, 0.2
2020-36, , Sachsen-Anhalt, 15, , 0.2
2020-37, 0.1, Sachsen-Anhalt, 15, 0.0084, 0.3
2020-38, -0.1, Sachsen-Anhalt, 15, -0.0111, 0.2
2020-39, 0.2, Sachsen-Anhalt, 15, 0.0168, 0.4
2020-40, 0.2, Sachsen-Anhalt, 15, 0.0168, 0.6
2020-41, 0.3, Sachsen-Anhalt, 15, 0.0252, 0.9
2020-42, 0.2, Sachsen-Anhalt, 15, 0.0168, 1.1
2020-43, 0.7, Sachsen-Anhalt, 15, 0.0588, 1.8
2020-44, 0.6, Sachsen-Anhalt, 15, 0.0504, 2.4
2020-45, 1.5, Sachsen-Anhalt, 15, 0.1261, 3.9
2020-46, 0.9, Sachsen-Anhalt, 15, 0.0756, 4.8
2020-47, 1.3, Sachsen-Anhalt, 15, 0.1092, 6.1
2020-48, 0.3, Sachsen-Anhalt, 15, 0.0252, 6.4
2020-49, 1.8, Sachsen-Anhalt, 15, 0.1513, 8.2
2020-50, 1.9, Sachsen-Anhalt, 15, 0.1597, 10.1
2020-51, 2.2, Sachsen-Anhalt, 15, 0.1849, 12.3
2020-52, 4.6, Sachsen-Anhalt, 15, 0.3866, 16.9
2020-53, 2.9, Sachsen-Anhalt, 15, 0.2437, 19.8
2021-01, -1.5, Sachsen-Anhalt, 15, -0.1667, 18.3
2021-02, -4.4, Sachsen-Anhalt, 15, -0.4889, 13.9
2021-03, -2, Sachsen-Anhalt, 15, -0.2222, 11.9
2021-04, -2.1, Sachsen-Anhalt, 15, -0.2333, 9.8
2021-05, -2.1, Sachsen-Anhalt, 15, -0.2333, 7.7
2021-06, -0.6, Sachsen-Anhalt, 15, -0.0667, 7.1
2021-07, , Sachsen-Anhalt, 15, , 7.1
