Meldedatum, difference, group, quantity, trend, value
2022-06-08, , trend, 15, , 66.7
2022-06-15, 1.7, trend, 19, 0.0511, 68.4
2022-06-22, 7.8, trend, 21, 0.2342, 76.2
2022-06-29, , trend, 21, , 76.2
2022-07-06, -28.6, trend, 21, -0.8171, 47.6
2022-07-13, , trend, 21, , 47.6
2022-07-20, -19, trend, 21, -0.5429, 28.6
2022-07-27, -19.1, trend, 21, -0.5457, 9.5
2022-08-03, -9.5, trend, 21, -0.2714, 
2022-08-10, , trend, 21, , 
2022-08-17, 4.8, trend, 21, 0.1441, 4.8
2022-08-24, 9.5, trend, 21, 0.2853, 14.3
2022-08-31, 4.7, trend, 21, 0.1411, 19
2022-09-07, 19.1, trend, 21, 0.5736, 38.1
2022-09-14, 33.3, trend, 21, 1, 71.4
2022-09-21, 14.3, trend, 21, 0.4294, 85.7
2022-09-28, -4.7, trend, 21, -0.1343, 81
2022-10-05, -4.8, trend, 21, -0.1371, 76.2
2022-10-12, -35, trend, 34, -1, 41.2
2022-10-19, -9.8, trend, 35, -0.28, 31.4
2022-10-26, -25.8, trend, 36, -0.7371, 5.6
2022-11-02, 2.5, trend, 37, 0.0751, 8.1
2022-11-09, 5.4, trend, 37, 0.1622, 13.5
2022-11-16, -3, trend, 38, -0.0857, 10.5
2022-11-23, 7.4, trend, 39, 0.2222, 17.9
2022-11-30, 18, trend, 39, 0.5405, 35.9
2022-12-07, 19.1, trend, 40, 0.5736, 55
2022-12-14, 8.4, trend, 41, 0.2523, 63.4
2022-12-21, -26.8, trend, 41, -0.7657, 36.6
2022-12-28, -12.8, trend, 42, -0.3657, 23.8
2023-01-04, -14.3, trend, 42, -0.4086, 9.5
2023-01-11, -2.4, trend, 42, -0.0686, 7.1
2023-01-18, 7.2, trend, 42, 0.2162, 14.3
2023-01-25, 28.6, trend, 42, 0.8589, 42.9
2023-02-01, 14.2, trend, 42, 0.4264, 57.1
2023-02-08, 7.2, trend, 42, 0.2162, 64.3
2023-02-15, -2.4, trend, 42, -0.0686, 61.9
2023-02-22, -14.3, trend, 42, -0.4086, 47.6
2023-03-01, -26.2, trend, 42, -0.7486, 21.4
2023-03-08, , trend, 42, , 21.4
2023-03-15, -9.5, trend, 42, -0.2714, 11.9
2023-03-22, -7.1, trend, 42, -0.2029, 4.8
2023-03-29, -0.3, trend, 44, -0.0086, 4.5
2023-04-05, , trend, 44, , 4.5
2023-04-12, 4.6, trend, 44, 0.1381, 9.1
2023-04-19, 11.8, trend, 43, 0.3544, 20.9
2023-04-26, -1.4, trend, 41, -0.04, 19.5
2023-05-03, -11.4, trend, 37, -0.3257, 8.1
2023-05-10, 8.6, trend, 12, 0.2583, 16.7
